Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
BLOOMINGTON PD,B22-26259,MONROE,PERRY,BLOOMINGTON,7/10/22,8:44 AM,3,,0,0,0,,S WASHINGTON ST,,,,,S WASHINGTON ST,E DIXIE ST,,,,Y,,0,,39.15647229,-86.53243958,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$10001 TO $25000,REAR END,SWASHINGTONSTEDIXIEST,0,
INDIANA UNIV BLOOMINGTON PD,221474,MONROE,BLOOMINGTON,BLOOMINGTON,4/19/22,8:10 AM,2,,0,0,0,,S INDIANA AVE,,,,,S INDIANA AVE,E 3RD ST,,,,Y,,0,,39.1643544,-86.52687183,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$5001 TO $10000,RIGHT ANGLE,SINDIANAAVEE3RDST,0,
MONROE SD,M22A20812,MONROE,PERRY,BLOOMINGTON,8/25/22,8:44 AM,1,,0,0,0,,S INTERSTATE 69,,,,,S INTERSTATE 69,,,69,,N,,0,,39.09168082,-86.56702639,,,,,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER ASLEEP OR FATIGUED,$1001 TO $2500,RAN OFF ROAD,SINTERSTATE69,0,
BLOOMINGTON PD,B22-36259,MONROE,BLOOMINGTON,BLOOMINGTON,9/9/22,2:10 AM,1,,1,0,0,1635,W 3RD ST,,,,,W 3RD ST,,,,,N,,0,,39.16440437,-86.55452469,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,W3RDST,1,
BLOOMINGTON PD,B22-10185,MONROE,BLOOMINGTON,BLOOMINGTON,3/25/22,2:20 PM,2,,1,0,0,,S COLLEGE AVE,,,,,S COLLEGE AVE,W 3RD ST,,,,Y,,0,,39.16462357,-86.53490299,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,W3RDSTSCOLLEGEAVE,0,
BLOOMINGTON PD,B22-38646,MONROE,BLOOMINGTON,BLOOMINGTON,9/23/22,3:30 PM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S HILLSDALE DR,,,,Y,,0,,39.16427887,-86.50257725,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,SAME DIRECTION SIDESWIPE,SHILLSDALEDRE3RDST,0,
ISP BLOOMINGTON 33,2022-00054927,MONROE,WASHINGTON,BLOOMINGTON,2/4/22,12:40 AM,1,,0,0,0,,I-69,,,,,I-69,,,,,N,,739,,39.3153373,-86.51126286,INTERSTATE,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,,CONCRETE,BRAKE FAILURE OR DEFECTIVE,$5001 TO $10000,OTHER - EXPLAIN IN NARRATIVE,I-69,0,
MONROE SD,M22A14290,MONROE,PERRY,,6/17/22,9:30 AM,1,,0,0,0,,W CHURCH LN,,,,,W CHURCH LN,S COLLEGE DR,,,,N,,0,,39.10729408,-86.53584448,,,,,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,$1001 TO $2500,COLLISION WITH OBJECT IN ROAD,WCHURCHLNSCOLLEGEDR,0,
BLOOMINGTON PD,B22-29843,MONROE,BLOOMINGTON,BLOOMINGTON,8/3/22,12:42 PM,2,,0,0,0,1305,W 13TH ST,,,,,W 13TH ST,,,,,Y,,0,,39.1746162,-86.5502373,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,W13THST,0,
BLOOMINGTON PD,B22-34371,MONROE,BLOOMINGTON,BLOOMINGTON,8/29/22,9:00 PM,2,,0,0,0,,W KIRKWOOD AVE,,,,,W KIRKWOOD AVE,N ADAMS ST,,,,Y,,0,,39.16673032,-86.54958433,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,SAME DIRECTION SIDESWIPE,WKIRKWOODAVENADAMSST,0,
INDIANA UNIV BLOOMINGTON PD,223776,MONROE,BLOOMINGTON,BLOOMINGTON,10/6/22,3:20 PM,2,,0,0,0,500,E 4TH ST,,,,,E 4TH ST,,,,,Y,,0,,39.16532314,-86.52726836,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$1001 TO $2500,LEFT TURN,E4THST,0,
INDIANA UNIV BLOOMINGTON PD,220429,MONROE,BLOOMINGTON,BLOOMINGTON,2/5/22,1:20 AM,1,,1,0,0,,N JORDAN AVE,,,,,N JORDAN AVE,S JORDAN AVE,,,,Y,,0,,39.1677479,-86.51612914,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$10001 TO $25000,COLLISION WITH OBJECT IN ROAD,SJORDANAVENJORDANAVE,0,
