Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
INDIANA UNIV BLOOMINGTON PD,220099,MONROE,BLOOMINGTON,BLOOMINGTON,1/13/22,11:08 AM,1,0,0,0,0,701,EAST 17TH,ST,,,,EAST 17TH,,,,,Y,,,,39.1809087,-86.5255927,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,EAST17THST,1,OTHER
BLOOMINGTON PD,B22-42343,MONROE,BLOOMINGTON,BLOOMINGTON,10/13/22,1:31 PM,1,,0,0,0,421,E 3RD ST,,,,,E 3RD ST,,,,,Y,,0,,39.16478261,-86.52864764,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,E3RDST,0,
MONROE SD,M22A816,MONROE,RICHLAND,BLOOMINGTON,1/11/22,3:19 PM,2,0,0,0,0,,,,SR46W,,,SR46W,W ARLINGTON,,,,N,,,,39.207648,-86.573792,STATE ROAD,Y,N,N,RURAL,N,N,B,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,SR46WWARLINGTONRD,0,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B22-02628,MONROE,BLOOMINGTON,BLOOMINGTON,1/24/22,4:27 AM,2,,0,0,0,,N DUNN ST,,,,,N DUNN ST,E KIRKWOOD AVE,,,,Y,,0,,39.16656118,-86.52826256,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,NDUNNSTEKIRKWOODAVE,0,
ELLETTSVILLE PD,E2200105,MONROE,RICHLAND,ELLETTSVILLE,1/8/22,8:35 AM,1,0,0,0,1,,,,SR46W,,,SR46W,DEER PARK,,,,Y,,100,W,39.21215347,-86.58752598,STATE ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,$2501 TO $5000,COLLISION WITH DEER,DEERPARKDRSR46W,0,LANE CONTROL
MONROE SD,M22A1270,MONROE,CLEAR CREEK,BLOOMINGTON,1/17/22,7:29 PM,1,,0,0,0,,S FAIRFAX RD,,,,,S FAIRFAX RD,S MCCORMICK LN,,,,N,,738,,0,0,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,$2501 TO $5000,RAN OFF ROAD,SMCCORMICKLNSFAIRFAXRD,0,
BLOOMINGTON PD,B22-00459,MONROE,PERRY,BLOOMINGTON,1/5/22,3:07 AM,2,,1,0,0,,S COLLEGE AVE,,,,,S COLLEGE AVE,W 1ST ST,,,,Y,,0,,39.15940993,-86.53496451,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$10001 TO $25000,RIGHT ANGLE,W1STSTSCOLLEGEAVE,0,
INDIANA UNIV BLOOMINGTON PD,220063,MONROE,PERRY,BLOOMINGTON,1/10/22,4:05 PM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S JORDAN AVE,,,,Y,,264,,39.16424721,-86.51587821,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,LEFT TURN,SJORDANAVEE3RDST,0,
MONROE SD,M22A1238,MONROE,CLEAR CREEK,BLOOMINGTON,1/17/22,11:17 AM,2,,0,0,0,,WEST POPCORN ROAD,,,,,WEST POPCORN ROAD,SOUTH KETCHAM ROAD,,,,N,,1500,,39.0117416,-86.5619147,,,,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,ICE,,NO JUNCTION INVOLVED,,ASPHALT,LEFT OF CENTER,$2501 TO $5000,OPPOSITE DIRECTION SIDESWIPE,WESTPOPCORNROADSOUTHKETCHAMROAD,0,
MONROE SD,M22A1100,MONROE,,BLOOMINGTON,1/15/22,9:13 AM,1,,0,0,0,,N MT GILEAD RD,,,,,N MT GILEAD RD,N GETTY'S CREEK RD,,,,N,,1000,,39.193437,-86.436407,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,SNOW,ICE,,NO JUNCTION INVOLVED,,ASPHALT,ROADWAY SURFACE CONDITION,$1001 TO $2500,RAN OFF ROAD,NMTGILEADRDNGETTY'SCREEKRD,0,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BLOOMINGTON,BLOOMINGTON,1/18/22,8:40 AM,1,,0,0,0,,I69 - 123 - C,,,,,I69 - 123 - C,,,,,N,,0,,39.23460747,-86.54166778,INTERSTATE,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,ICE,,RAMP,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$2501 TO $5000,,I69-123-C,0,
BLOOMINGTON PD,B22-02381,MONROE,BLOOMINGTON,BLOOMINGTON,1/22/22,1:43 PM,2,,0,0,0,,N SR46,,,,,N SR46,E. 7TH ST,,,,Y,,0,,39.1685175,-86.52902999,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,NSR46E.7THST,0,
INDIANA UNIV BLOOMINGTON PD,220016,MONROE,BLOOMINGTON,BLOOMINGTON,1/4/22,12:32 PM,2,0,0,0,0,,THIRD,ST,,,,THIRD,S HAWTHORNE,,,,Y,,,,39.15688773,-86.52032385,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SHAWTHORNEDRTHIRDST,0,TRAFFIC CONTROL SIGNAL
MONROE SD,M22A1274,MONROE,WASHINGTON,BLOOMINGTON,1/17/22,8:41 PM,1,,0,0,0,,I-69,,,,,I-69,,,,,N,,634,,39.33307581,-86.51340668,INTERSTATE,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,$2501 TO $5000,RAN OFF ROAD,I-69,0,
ELLETTSVILLE PD,E2200336,MONROE,RICHLAND,ELLETTSVILLE,1/27/22,7:26 AM,2,0,0,0,0,,,,SR46W,,,SR46W,LAKEVIEW,,,,Y,,,,39.221152,-86.6056,STATE ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,SAME DIRECTION SIDESWIPE,LAKEVIEWDRSR46W,0,NONE
ISP BLOOMINGTON 33,2022-00034956,MONROE,PERRY,BLOOMINGTON,1/23/22,7:15 AM,1,,0,0,1,,I-69,,,,,I-69,,,115,,Y,,1003,,39.12071466,-86.57008172,INTERSTATE,,,,RURAL,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,$1001 TO $2500,COLLISION WITH ANIMAL OTHER,I-69115,0,
MONROE SD,M22A19612,MONROE,BLOOMINGTON,BLOOMINGTON,8/11/22,4:04 PM,2,,2,0,0,,S ROGERS ST,,,,,S ROGERS ST,W 3RD ST,,,,Y,,0,,39.16465351,-86.5387053,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$25001 TO $50000,RIGHT ANGLE,W3RDSTSROGERSST,0,
BLOOMINGTON PD,B22-02889,MONROE,BLOOMINGTON,BLOOMINGTON,1/26/22,6:20 PM,1,,1,0,0,,N INDIANA AVE,,,,,N INDIANA AVE,E 10TH ST,,,,Y,,0,,39.17168259,-86.52697912,,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,NINDIANAAVEE10THST,1,
BLOOMINGTON PD,B22-001349,MONROE,,BLOOMINGTON,1/13/22,12:52 PM,1,,0,0,0,,CURRY PIKE,,,,,CURRY PIKE,ROLL AVENUE,,,,Y,,0,,39.14719,-86.582613,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,RAN OFF ROAD,ROLLAVENUECURRYPIKE,0,
INDIANA UNIV BLOOMINGTON PD,222379,MONROE,BLOOMINGTON,BLOOMINGTON,7/13/22,1:35 PM,2,,0,0,0,150,N. EAGLESON AVE.,,,,,N. EAGLESON AVE.,,,,,Y,,0,,39.1673127,-86.51453973,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT TURN,N.EAGLESONAVE.,0,
BLOOMINGTON PD,B22-01008,MONROE,,BLOOMINGTON,1/10/22,9:24 AM,2,,2,0,0,,N WALNUT ST,,,,,N WALNUT ST,W 14TH ST,,,,N,,0,,0,0,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,LEFT TURN,W14THSTNWALNUTST,0,
BLOOMINGTON PD,B22-01379,MONROE,BLOOMINGTON,BLOOMINGTON,1/13/22,6:30 AM,2,,0,0,0,,W 12TH ST,,,,,W 12TH ST,,,,,Y,,0,,39.17417311,-86.55004867,OTHER,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,W12THST,0,
BLOOMINGTON PD,B22-01085,MONROE,BLOOMINGTON,BLOOMINGTON,1/9/22,9:00 PM,2,,0,0,0,140 N,GATES DRIVE,,,,,GATES DRIVE,,,,,Y,,0,,39.16683792,-86.57463286,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,GATESDRIVE,0,
ELLETTSVILLE PD,E2200058,MONROE,RICHLAND,ELLETTSVILLE,1/5/22,10:31 AM,2,0,0,0,0,,,,SR46W,,,SR46W,LOVE,,,,Y,,100,E,39.21898572,-86.60202298,STATE ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,LOVELNSR46W,0,LANE CONTROL
ISP BLOOMINGTON 33,2.022E+11,MONROE,BLOOMINGTON,BLOOMINGTON,2/2/22,1:35 PM,1,,0,0,0,,I-69,,,,,I-69,,,117.5,,Y,,0,,39.15892554,-86.57292804,INTERSTATE,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,,$10001 TO $25000,RAN OFF ROAD,I-69117.5,0,
BLOOMINGTON PD,B22-00589,MONROE,PERRY,BLOOMINGTON,1/6/22,4:05 AM,2,,0,0,0,,1100 S COLLEGE MALL RD,,,,,1100 S COLLEGE MALL RD,,,,,Y,,0,,39.15344214,-86.49741358,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,1100SCOLLEGEMALLRD,0,
ELLETTSVILLE PD,E2200104,MONROE,RICHLAND,ELLETTSVILLE,1/8/22,6:40 PM,1,0,0,0,0,,HARTSTRAIT,RD,,,,HARTSTRAIT,TEMPERANCE,,,,Y,,50,S,39.22232827,-86.615919,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),SLEET/HAIL/FREEZING RAIN,ICE,,T-INTERSECTION,CURVE/GRADE,ASPHALT,ROADWAY SURFACE CONDITION,$1001 TO $2500,RAN OFF ROAD,HARTSTRAITRDTEMPERANCEST,0,LANE CONTROL
BLOOMINGTON PD,B22-18564,MONROE,PERRY,BLOOMINGTON,5/20/22,2:59 PM,2,,0,0,0,,1285 S. COLLEGE MALL RD,,,,,1285 S. COLLEGE MALL RD,,,,,Y,,0,,0,0,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,1285S.COLLEGEMALLRD,0,
BLOOMINGTON PD,B22-03235,MONROE,VAN BUREN,BLOOMINGTON,1/29/22,8:17 AM,2,,0,0,0,,I69,,,,,I69,W. 3RD ST,,117.5,,Y,,300,,39.164524,-86.573263,INTERSTATE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,W.3RDSTI69,0,
BLOOMINGTON PD,B22-28627,MONROE,PERRY,BLOOMINGTON,7/26/22,2:44 PM,2,,0,0,0,671,S LANDMARK AVE,,,,,S LANDMARK AVE,,,,,Y,,0,,39.15865411,-86.55373014,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,CONCRETE,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,SLANDMARKAVE,0,
MONROE SD,M22A2872,MONROE,SALT CREEK,BLOOMINGTON,2/6/22,5:30 AM,1,,1,0,0,,STATE RD 46,,,,,STATE RD 46,N DUBLIN DR,,,,N,,0,,39.16323978,-86.44132364,,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO MAINTAIN LANE,$10001 TO $25000,RAN OFF ROAD,STATERD46NDUBLINDR,0,
BLOOMINGTON PD,B22-21734,MONROE,PERRY,BLOOMINGTON,6/10/22,7:23 PM,2,,0,0,0,1175,S COLLEGE MALL R,,,,,S COLLEGE MALL R,,,,,Y,,0,,39.15386069,-86.49578195,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,OPPOSITE DIRECTION SIDESWIPE,SCOLLEGEMALLR,0,
BLOOMINGTON PD,B22-15113,MONROE,BLOOMINGTON,BLOOMINGTON,4/27/22,9:10 AM,2,,0,0,0,,W 7TH ST,,,,,W 7TH ST,N ROGERS ST,,,,Y,,0,,39.16860466,-86.53868384,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,W7THSTNROGERSST,0,
BLOOMINGTON PD,B22-36911,MONROE,BLOOMINGTON,BLOOMINGTON,9/13/22,11:40 AM,2,,1,0,0,,E. 12TH ST,,,,,E. 12TH ST,N. INDIANA AVE,,,,Y,,0,,39.174359,-86.526999,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$25001 TO $50000,RIGHT ANGLE,N.INDIANAAVEE.12THST,0,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BENTON,UNIONVILLE(MONROE),9/10/22,1:09 AM,1,,1,0,0,,STATE RD 45,,,,,STATE RD 45,N RICHARDSON RD,,,,N,,250,,39.23982144,-86.38737494,STATE ROAD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$2501 TO $5000,RAN OFF ROAD,STATERD45NRICHARDSONRD,0,
INDIANA UNIV BLOOMINGTON PD,223489,MONROE,BLOOMINGTON,BLOOMINGTON,9/22/22,10:35 AM,2,,1,0,0,1818,N. BAKER AVE.,,,,,N. BAKER AVE.,,,,,Y,,0,,39.18408061,-86.51567049,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,N.BAKERAVE.,0,
MONROE SD,M22A8659,MONROE,PERRY,BLOOMINGTON,4/18/22,1:36 AM,1,,1,0,0,,STATE RD 37,,,,,STATE RD 37,S OLD STATE ROAD 37,,,,N,,0,,39.08550906,-86.54258913,STATE ROAD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$25001 TO $50000,RAN OFF ROAD,STATERD37SOLDSTATEROAD37,0,
BLOOMINGTON PD,B22-04347,MONROE,BLOOMINGTON,BLOOMINGTON,2/7/22,10:00 AM,2,,0,0,0,2896,E 3RD ST,,,,,E 3RD ST,,,,,Y,,0,,39.16660097,-86.53709613,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,SNOW/SLUSH,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,E3RDST,0,
BLOOMINGTON PD,B22-36308,MONROE,BLOOMINGTON,BLOOMINGTON,9/9/22,6:15 PM,2,,1,0,0,,W 4TH ST,,,,,W 4TH ST,S ROGERS ST,,,,Y,,0,,39.16563339,-86.53880204,,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,OVERCORRECTING/OVERSTEERING,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,W4THSTSROGERSST,0,
MONROE SD,M22A2855,MONROE,VAN BUREN,BLOOMINGTON,2/6/22,1:51 AM,2,,3,0,0,,S LIBERTY DR,,,,,S LIBERTY DR,,,,,N,,0,,39.15805145,-86.57692725,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,SLIBERTYDR,0,
MONROE SD,M22A23922,MONROE,RICHLAND,BLOOMINGTON,9/29/22,5:20 AM,2,,0,0,0,,N DANIELS WAY,,,,,N DANIELS WAY,,,,,N,,0,,39.17200662,-86.59829325,PRIVATE DRIVE,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$5001 TO $10000,SAME DIRECTION SIDESWIPE,NDANIELSWAY,0,
BLOOMINGTON PD,B22-11592,MONROE,PERRY,BLOOMINGTON,4/4/22,2:40 PM,2,,0,0,0,,W 2ND ST,,,,,W 2ND ST,S WALNUT ST,,,,Y,,0,,39.16135329,-86.53368701,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,RIGHT ANGLE,W2NDSTSWALNUTST,0,
BLOOMINGTON PD,B22-41013,MONROE,BLOOMINGTON,BLOOMINGTON,10/6/22,8:41 AM,2,,0,0,0,,N. KINSER PK,,,,,N. KINSER PK,GOURLEY PK,,,,Y,,0,,39.1801415,-86.5377305,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$10001 TO $25000,REAR END,N.KINSERPKGOURLEYPK,0,
BLOOMINGTON PD,B22-41347,MONROE,BLOOMINGTON,BLOOMINGTON,10/7/22,6:50 PM,2,,0,0,0,,E COVENANTER DR,,,,,E COVENANTER DR,S CLARIZZ BLVD,,,,Y,,0,,39.15372432,-86.49235941,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO MAINTAIN LANE,UNDER $1001,REAR END,SCLARIZZBLVDECOVENANTERDR,0,
BLOOMINGTON PD,B22-15119,MONROE,VAN BUREN,BLOOMINGTON,4/27/22,11:00 AM,2,,0,0,0,,W. 3RD ST,,,,,W. 3RD ST,S LIBERTY DR,,,,Y,,1000,,39.164606,-86.579131,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,W.3RDSTSLIBERTYDR,0,
BLOOMINGTON PD,B22-31387,MONROE,BLOOMINGTON,BLOOMINGTON,8/13/22,12:42 PM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S KINGSTON DR,,,,Y,,0,,39.16420997,-86.4930388,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,SKINGSTONDRE3RDST,0,
BLOOMINGTON PD,B22-37664,MONROE,BLOOMINGTON,BLOOMINGTON,9/17/22,7:06 PM,2,,0,0,0,,W 6TH ST,,,,,W 6TH ST,N WALNUT ST,,,,Y,,0,,39.16754312,-86.5336931,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER LANE USAGE,$1001 TO $2500,BACKING CRASH,W6THSTNWALNUTST,0,
BLOOMINGTON PD,B22-30339,MONROE,BLOOMINGTON,BLOOMINGTON,8/6/22,12:00 AM,2,,0,0,0,218,N MADISON ST,,,,,N MADISON ST,,,,,Y,,0,,39.16845742,-86.53742385,PRIVATE DRIVE,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,,CONCRETE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,OPPOSITE DIRECTION SIDESWIPE,NMADISONST,0,
BLOOMINGTON PD,B22-26014,MONROE,BLOOMINGTON,BLOOMINGTON,7/8/22,3:57 PM,2,,0,0,0,,E 10TH ST,,,,,E 10TH ST,E JOHN HINKLE PL,,,,Y,,0,,39.17152176,-86.4908775,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,EJOHNHINKLEPLE10THST,0,
MONROE SD,M22A24182,MONROE,CLEAR CREEK,BLOOMINGTON,10/2/22,12:40 AM,1,,2,0,0,,SOUTH OLD STATE ROAD,,,,,SOUTH OLD STATE ROAD,,,,,N,,0,,39.02827734,-86.54189864,STATE ROAD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$5001 TO $10000,RAN OFF ROAD,SOUTHOLDSTATEROAD,0,
BLOOMINGTON PD,B22-32507,MONROE,PERRY,BLOOMINGTON,8/19/22,4:10 PM,2,,1,0,0,,S COLLEGE MALL RD,,,,,S COLLEGE MALL RD,E MOORES PIKE,,,,Y,,950,,39.15203544,-86.49766477,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,SCOLLEGEMALLRDEMOORESPIKE,0,
MONROE SD,M22A23568,MONROE,PERRY,BLOOMINGTON,9/25/22,11:04 AM,2,,0,0,0,,S FAIRFAX RD,,,,,S FAIRFAX RD,E RAYLETOWN RD,,,,N,,0,,39.09401584,-86.51495057,COUNTY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,SFAIRFAXRDERAYLETOWNRD,0,
ELLETTSVILLE PD,E22-03608,MONROE,RICHLAND,ELLETTSVILLE,9/15/22,3:24 PM,2,,0,0,0,,STATE RD 46,,,,,STATE RD 46,N LOVE LN,,,,Y,,106,,39.22013394,-86.60393028,STATE ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,STATERD46NLOVELN,0,
BLOOMINGTON PD,B22-37495,MONROE,BLOOMINGTON,BLOOMINGTON,9/16/22,3:34 PM,2,,0,0,0,256,N JACOB DR,,,,,N JACOB DR,,,,,Y,,0,,39.1680778,-86.57324645,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,NJACOBDR,0,
BLOOMINGTON PD,B22-28697,MONROE,BLOOMINGTON,BLOOMINGTON,7/27/22,12:40 AM,1,,1,0,0,,E COTTAGE GROVE AVE,,,,,E COTTAGE GROVE AVE,N INDIANA AVE,,,,Y,,0,,39.17255848,-86.52706665,,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,$10001 TO $25000,RAN OFF ROAD,NINDIANAAVEECOTTAGEGROVEAVE,0,
BLOOMINGTON PD,B22-05733,MONROE,PERRY,BLOOMINGTON,2/20/22,5:45 AM,2,,0,0,0,2624,E 3RD,,,,,E 3RD,,,,,Y,,0,,39.16336414,-86.50048918,,,,,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,VIEW OBSTRUCTED,$2501 TO $5000,RIGHT ANGLE,E3RD,0,
