_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
1884,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,S WALNUT ST,W GORDON PK,,100.0,N,39.12144,-86.526496,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EASTRHORERRDSOUTHWALNUTST,NONE,2021-06-15 17:10:00,,,
1885,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S COLLEGE MALL RD,ST RD 46,,,,39.16424,-86.4984,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,COLLEGEMALLRDE 3RDST,TRAFFIC CONTROL SIGNAL,2021-06-14 13:23:00,,,
1886,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S SWAIN AVE,E 3RD ST,,,,39.164261,-86.515275,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,SAME DIRECTION SIDESWIPE,SWAINAVE 3RDST,NONE,2021-06-14 16:40:00,,,
1887,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S OAKDALE DR,W BLOOMFIELD RD,,,,39.1497231,-86.5688429,LOCAL/CITY RD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,SOAKDALEDRWBLOOMFIELDRD,TRAFFIC CONTROL SIGNAL,2021-06-14 16:48:00,,,
1888,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,ST RD 45,E CHAPEL RD,,100.0,E,0.0,0.0,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,ECHAPELRDST RD 45 W,NONE,2021-06-14 19:33:00,,,
1889,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W HOBART RD,S ST RD 37,,100.0,W,39.01375547,-86.54115176,LOCAL/CITY RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,HOBARTRDSOLDST RD 37RD,NONE,2021-06-14 21:46:00,,,
1890,DNR LAW ENFORCEMENT,,1,,1.0,0,0,4850,,,ENRANCE TO PAYNETOWN STATE PARK CAMPGROUND,,,0.0,,39.08227362,-86.43503775,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,Y-INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,STATERD446,,2021-06-13 00:30:00,,,
1891,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,ST RD 48,W 3RD ST (ENTRANCE TO WHITEHALL CROSSING),,150.0,E,39.164606,-86.57914398,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SLIBERTYDRW 3RDST,YIELD SIGN,2021-06-13 16:05:00,,,
1892,BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0,0,,,,N COLLEGE AVE,W 6TH ST,,,,39.167648,-86.534784,LOCAL/CITY RD,Y,,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LN MOVEMENT,SAME DIRECTION SIDESWIPE,6THSTCOLLEGEAVE,TRAFFIC CONTROL SIGNAL,2021-06-13 18:30:00,,,
1893,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,1,,,,I-69 N,W TAPP RD,,5.0,N,0.0,0.0,INTERSTATE,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,I-69 N116.0,NONE,2021-06-13 21:25:00,,,
1894,BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0,0,,,,E WINSLOW RD,S WALNUT ST PK,,,,39.135969,-86.528794,LOCAL/CITY RD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,OTHER - EXPLAIN IN NARRATIVE,EWINSLOWRDSWALNUTSTPK,NONE,2021-06-13 23:20:00,,True,
1895,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W 4TH ST,,,100.0,E,39.165712,-86.542096,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LN USAGE,RIGHT ANGLE,SMAPLESTW4THST,NONE,2021-06-12 03:26:00,,,
