Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
ISP BLOOMINGTON 33,BLOOMINGTON,1,,1.0,0.0,0,,,,I-69 S,,,0.0,S,39.0500898,-86.67995971,INTERSTATE,,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,TIRE FAILURE OR DEFECTIVE,RAN OFF RD,I-69105,,2020-10-30 11:51:00,,,
BLOOMINGTON PD,BLOOMINGTON,5,0.0,0.0,0.0,0,,,,E HILLSIDE DR,S DORCHESTER DR,,150.0,W,39.150497,-86.51250802,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EHILLSIDEDRSDORCHESTERDR,NONE,2020-10-30 14:55:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0.0,0,,,,E 3RD ST,ST RD 46,,300.0,W,39.16424,-86.4984,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E 3RDSTSCOLLEGEMALLRD,NONE,2020-10-30 15:43:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,ST RD 45/46,E 10TH ST,,,,0.0,0.0,ST RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ST RD 46UNIONVILLERD,TRAFFIC CONTROL SIGNAL,2020-10-30 16:10:00,,,
BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0.0,0,,,,S PATTERSON DR,W 2ND ST,,300.0,S,39.1290168,-86.548536,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SPATTERSONDRW 2NDST,NONE,2020-10-30 16:20:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,ST RD 45/46,E DISCOVERY PKWY,,,,39.18699695,-86.54926199,ST RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ST RD 46DISCOVERYPARKWAY,LN CONTROL,2020-10-30 17:57:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,N GATES DR,W WHITEHALL CROSSING BLVD,,,,39.172352,-86.573605,LOCAL/CITY RD,N,URBAN,N,N,Y,LN CLOSURE,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,CONCRETE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,HEAD ON BETWEEN TWO MOTOR VEHICLES,NGATESDRWWHITEHALLCROSSINGBLVD,NONE,2020-10-30 17:59:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0,,,,I-69 S,,,,,0.0,0.0,INTERSTATE,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,I-69S124.5,NONE,2020-10-30 18:35:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,1,,,,E 3RD ST,S JEFFERSON ST,,,,39.164304,-86.506992,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,COLLISION WITH ANIMAL OTHER,33RDSTSJEFFERSONST,NONE,2020-10-30 19:17:00,,,
MONROE SD,BLOOMINGTON,1,0.0,1.0,0.0,1,,,,I-69 N,,,100.0,S,0.0,0.0,INTERSTATE,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,I-69 N110.5,LN CONTROL,2020-10-30 23:00:00,,,
