Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,ST RD 45,N PETE LLIS DR,,,,0.0,0.0,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E1OTHSTNPETEELLISDR,TRAFFIC CONTROL SIGNAL,2019-01-01 18:39:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,2215.0,,,E COVENANTER,,,,,39.15555,-86.50447,LOCAL/CITY RD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,ECONVENANTERDR,NONE,2019-01-01 08:00:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,N EAGLESON AVE,E 7TH ST,,,,39.169065,-86.516155,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,OTHER - EXPLAIN IN NARRATIVE,7THSTEAGLESON AVEAVE,STOP SIGN,2019-01-01 12:47:00,,True,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N WALNUT,W 8TH ST,,100.0,N,39.16891463,-86.53356318,LOCAL/CITY RD,Y,URBAN,,,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,OPPOSITE DIRECTION SIDESWIPE,7THSTWALNUTST,NONE,2019-01-01 01:50:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,W 7TH,N WALDRON ST,,,,39.168752,-86.5436,LOCAL/CITY RD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NWALDRONSTW7THST,NONE,2019-01-01 03:28:00,,,
MONROE SD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,W ARLINGTON,,,840.0,W,39.20772792,-86.57433221,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN RDWAY,RAN OFF RD,ARLINGTONRDRAJUMIST,LN CONTROL,2019-01-01 04:55:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,ST RD 45,I-69 S,,,,0.0,0.0,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,RAMP,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SBRAMPONTOST RD 37RAMPW 3RDST,YIELD SIGN,2019-01-02 13:27:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,N INDIANA,E 17TH ST,,25.0,S,39.17637542,-86.52705,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,MUDDY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,GRAVEL,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,17THSTINDIANAAVE,NONE,2019-01-02 10:27:00,,,
ISP BLOOMINGTON 33,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N WALNUT,E 14TH ST,,,,39.175952,-86.53344,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE LN MOVEMENT,LEFT/RIGHT TURN,14THSTWALNUTST,LN CONTROL,2019-01-02 09:12:00,,,
MONROE SD,BLOOMINGTON,2,0.0,2.0,0.0,0.0,,,,ST RD 45,W DINSMORE RD,,300.0,W,39.11460543,-86.63189064,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,DINSMORERDST RD 45 W,NONE,2019-01-02 13:30:00,,,
