Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,ST RD 45,N PETE LLIS DR,,,,39.17149,-86.49537,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E1OTHSTNPETEELLISDR,TRAFFIC CONTROL SIGNAL,2019-01-01 18:39:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,2215.0,,,E COVENANTER,,,,,39.15555,-86.50447,LOCAL/CITY RD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,ECONVENANTERDR,NONE,2019-01-01 08:00:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,N EAGLESON AVE,E 7TH ST,,,,39.16885,-86.51614,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,OTHER - EXPLAIN IN NARRATIVE,7THSTEAGLESON AVEAVE,STOP SIGN,2019-01-01 12:47:00,,True,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N WALNUT,W 8TH ST,,100.0,N,39.16947,-86.53357,LOCAL/CITY RD,Y,URBAN,,,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,OPPOSITE DIRECTION SIDESWIPE,7THSTWALNUTST,NONE,2019-01-01 01:50:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,W 7TH,N WALDRON ST,,,,39.16863,-86.54372,LOCAL/CITY RD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NWALDRONSTW7THST,NONE,2019-01-01 03:28:00,,,
MONROE SD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,W ARLINGTON,,,840.0,W,39.20770482547231,-86.57435627360418,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN RDWAY,RAN OFF RD,ARLINGTONRDRAJUMIST,LN CONTROL,2019-01-01 04:55:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,ST RD 45,I-69 S,,,,39.18217,-86.55689,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,RAMP,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SBRAMPONTOST RD 37RAMPW 3RDST,YIELD SIGN,2019-01-02 13:27:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,N INDIANA,E 17TH ST,,25.0,S,39.17902,-86.52704,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,MUDDY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,GRAVEL,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,17THSTINDIANAAVE,NONE,2019-01-02 10:27:00,,,
ISP BLOOMINGTON 33,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N WALNUT,E 14TH ST,,,,39.17595,-86.53355,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE LN MOVEMENT,LEFT/RIGHT TURN,14THSTWALNUTST,LN CONTROL,2019-01-02 09:12:00,,,
MONROE SD,BLOOMINGTON,2,0.0,2.0,0.0,0.0,,,,ST RD 45,W DINSMORE RD,,300.0,W,39.11324,-86.63471,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,DINSMORERDST RD 45 W,NONE,2019-01-02 13:30:00,,,
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0.0,0.0,,,,ST RD 46,N 1ST,,,,39.23136,-86.62126,ST RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LN MOVEMENT,SAME DIRECTION SIDESWIPE,FIRSTSTSTST RD 46 W,LN CONTROL,2019-01-02 19:15:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,,0.0,0.0,919.0,,,ALLEY,W KIRKWOOD AVE,,,,39.16674,-86.5354,LOCAL/CITY RD,Y,URBAN,N,N,N,,UNKNOWN,,DRY,,T-INTERSECTION,STRAIGHT/GRADE,GRAVEL,IMPROPER TURNING,,PUBLICALLEYAT919WKIRKWOODALYWKIRKWOODAVE,NONE,2019-01-03 19:00:00,,,
ELLETTSVILLE PD,ELLETTSVILLE,1,0.0,0.0,0.0,0.0,,,,E TECUMSEH,S DEER RUN,,,,39.22343,-86.62105,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,CELL PHONE USAGE,RAN OFF RD,DEERRUNTECUMSEHDR,NONE,2019-01-03 16:40:00,,,
