_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
756,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,6020,,,ST RD 45,ENTRANCE TO NEW UNIONVILLE BAPTIST CHURCH,,500.0,W,39.17167,-86.53483,ST RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF RD,BETHELRDST RD 45E,LN CONTROL,2021-10-17 13:37:00,,,
757,BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0,0,,,,ST RD 48,S GATES DR,,,,39.23373020808202,-86.62473028125424,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,CONCRETE,DISREGARD SIGNAL/REG SIGN,LEFT TURN,SGATESDRW 3RDST,NONE,2021-10-17 19:52:00,,,
758,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W 3RD ST,,,500.0,W,39.193269034582286,-86.53974226190351,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLISION WITH OBJECT IN RD,COLLEGEAVE 3RDST,LN CONTROL,2021-10-17 23:46:00,,,
759,BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0,0,,,,W 12TH ST,N MONROE ST,,500.0,E,39.22760657810087,-86.61593385308389,LOCAL/CITY RD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,SAME DIRECTION SIDESWIPE,12THSTMONROEST,NONE,2021-10-16 02:35:00,,,True
760,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,Y,ST RD 48,I-69 S,,,,,,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,IMPROPER TURNING,RAN OFF RD,SBI-69OFFRAMPRPW 3RDST,TRAFFIC CONTROL SIGNAL,2021-10-16 03:48:00,,,
761,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N FAIRVIEW ST,W 9TH ST,,,,39.193677044543534,-86.57142029367154,LOCAL/CITY RD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF RD RIGHT,OPPOSITE DIRECTION SIDESWIPE,NFAIRVIEWSTW9THST,STOP SIGN,2021-10-16 04:57:00,,,
762,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W 3RD ST,S CORY LN,,50.0,E,39.16692932954756,-86.51612191608473,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,3RDSTCORYLN,LN CONTROL,2021-10-16 08:57:00,,,
763,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,S EAGLESON AVE,E 3RD ST,,,,39.16659112456296,-86.53873364019171,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,RIGHT ANGLE,EAGLESON AVEAVE 3RDST,TRAFFIC CONTROL SIGNAL,2021-10-16 11:20:00,,True,
764,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 7TH ST,N GRANT ST,,,,39.21055460362833,-86.46230610188931,LOCAL/CITY RD,N,URBAN,N,N,Y,WORK ON SHOULDER,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E7THSTNGRANTST,STOP SIGN,2021-10-16 13:40:00,,,
765,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,ST RD 45,ST RD 45/46,,,,39.164569435358686,-86.57622958827983,ST RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,CELL PHONE USAGE,REAR END,ST RD 45ST RD 46,TRAFFIC CONTROL SIGNAL,2021-10-16 14:10:00,,,
