_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
286,BLOOMINGTON PD,BLOOMINGTON,2022-01-21T00:00:00,3:00 AM,1,,1,0,0,"","","",W 3RD ST,MULLER PARKWAY,"",0,"",39.16442059,-86.56270928,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLOUDY,DRY,"",T-INTERSECTION,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,W3RDSTMULLERPARKWAY,""
287,MONROE SD,BLOOMINGTON,2022-04-03T00:00:00,1:48 PM,1,,0,0,0,"","","",W STATE RD 45,W STATE RD 45,"",0,"",39.11111235,-86.63822598,"","",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,DRIVER ILLNESS,RAN OFF ROAD,WSTATERD45WSTATERD45,""
288,BLOOMINGTON PD,BLOOMINGTON,2022-01-30T00:00:00,12:20 AM,3,,0,0,0,"","","",E 7TH ST,N WASHINGTON ST,"",0,"",39.16855475,-86.53236885,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT TURN,NWASHINGTONSTE7THST,""
289,BLOOMINGTON PD,BLOOMINGTON,2022-05-11T00:00:00,12:10 PM,2,,0,0,0,"","","",1175 S COLLEGE MALL ROAD,"","",0,"",39.15513658,-86.49681992,"","",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,1175SCOLLEGEMALLROAD,""
290,BLOOMINGTON PD,BLOOMINGTON,2022-01-19T00:00:00,9:10 AM,2,,0,0,0,"","","",E KIRKWOOD AVE,S GRANT ST,"",0,"",39.16654177,-86.52973599,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,OPPOSITE DIRECTION SIDESWIPE,SGRANTSTEKIRKWOODAVE,""
291,MONROE SD,BLOOMINGTON,2022-03-01T00:00:00,9:50 PM,1,,1,0,0,"","","",W RATLIFF RD,WHITE RD,"",0,"",39.21709227,-86.68354468,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",Y-INTERSECTION,"",ASPHALT,UNSAFE SPEED,RAN OFF ROAD,WHITERDWRATLIFFRD,""
292,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-03-11T00:00:00,2:10 PM,2,,0,0,0,"","","",S PARK AVE,E ATWATER AVE,"",0,"",39.16310627,-86.52400679,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",T-INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SPARKAVEEATWATERAVE,""
293,MONROE SD,BLOOMINGTON,2022-05-13T00:00:00,5:15 AM,1,,0,0,1,"","","",STATE RD 446,CHANDLER RD,"",0,"",39.05693897,-86.40940136,STATE ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,STATERD446CHANDLERRD,""
294,BLOOMINGTON PD,BLOOMINGTON,2022-02-09T00:00:00,1:36 PM,2,,1,0,0,"","","",W ST RD 45,S LIBERTY DR,"",0,"",39.1450008,-86.5777444,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,WSTRD45SLIBERTYDR,""
295,MONROE SD,BLOOMINGTON,2022-05-14T00:00:00,2:38 AM,1,,0,0,0,"","","",I-69,"","",0,"",39.27810526,-86.52334008,"","",RURAL,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,COLLISION WITH OBJECT IN ROAD,I-69,""
296,BLOOMINGTON PD,BLOOMINGTON,2022-04-22T00:00:00,6:10 AM,2,,0,0,0,"","","",N ADAMS ST,W 6TH ST,"",0,"",39.16808812,-86.54962767,"","",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,BACKING CRASH,W6THSTNADAMSST,""
297,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-05-05T00:00:00,2:45 PM,2,,0,0,0,"","","",STATE RD 45,"","",528,"",39.17428144,-86.50377757,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,STATERD45,""
298,BLOOMINGTON PD,BLOOMINGTON,2022-04-25T00:00:00,4:30 PM,2,,0,0,0,1425,"","",N DUNN ST,"","",0,"",39.1795706,-86.53009983,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NDUNNST,""
299,BLOOMINGTON PD,BLOOMINGTON,2022-03-10T00:00:00,11:02 AM,2,,0,0,0,"","","",N. WALNUT ST,SR 45/46 BYPASS,"",300,"",39.186268,-86.534589,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SR45/46BYPASSN.WALNUTST,""
300,MONROE SD,"",2022-03-02T00:00:00,7:16 PM,2,,0,0,0,"","","",E STIPP RD,HANDY RIDGE RD,"",0,"",39.09975074,-86.49405659,COUNTY ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO MAINTAIN LANE,OPPOSITE DIRECTION SIDESWIPE,HANDYRIDGERDESTIPPRD,""
301,MONROE SD,ELLETTSVILLE,2022-04-11T00:00:00,11:53 AM,2,,0,0,0,"","","",W SR 46,W HEDRICK RD,"",0,"",39.27755,-86.677262,STATE ROAD,"",RURAL,N,Y,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,WSR46WHEDRICKRD,""
302,MONROE SD,BLOOMINGTON,2022-02-23T00:00:00,7:27 AM,1,,0,0,0,"","","",SHILO RD,"","",0,"",39.2728429,-86.45986981,COUNTY ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),SNOW,LOOSE MATERIAL ON ROAD,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE SPEED,RAN OFF ROAD,SHILORD,""
303,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-31T00:00:00,3:10 PM,2,,1,0,0,"","","",E 3RD ST,S FESS AVE,"",0,"",39.1642823,-86.52587227,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SFESSAVEE3RDST,""
304,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-05-04T00:00:00,5:40 PM,2,,0,0,0,"","","",E LINGELBACH LN,"","",0,"",39.17833164,-86.5080006,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,ELINGELBACHLN,""
305,BLOOMINGTON PD,BLOOMINGTON,2022-02-05T00:00:00,12:21 PM,2,,0,0,0,"","","",310 W. 12TH ST,N ASHLYNN PARK DR,"",300,"",39.1736378,-86.53683965,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,ICE,"",NO JUNCTION INVOLVED,"",ASPHALT,ROADWAY SURFACE CONDITION,RIGHT ANGLE,NASHLYNNPARKDR310W.12THST,""
306,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-03-11T00:00:00,11:03 PM,2,,0,0,0,"","","",N UNION ST,E 10TH ST,"",0,"",39.17162144,-86.50947497,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,NUNIONSTE10THST,""
307,BLOOMINGTON PD,BLOOMINGTON,2022-03-16T00:00:00,6:00 PM,2,,0,0,0,"","","",W 2ND ST,S COLLEGE AVE,"",0,"",39.16139816,-86.53502888,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,W2NDSTSCOLLEGEAVE,""
308,MONROE SD,UNIONVILLE(MONROE),2022-03-17T00:00:00,8:00 PM,1,,1,0,0,"","","",N MILLER RD,E ROBINSON RD,"",0,"",39.25111384,-86.47002824,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NMILLERRDEROBINSONRD,""
309,BLOOMINGTON PD,BLOOMINGTON,2022-02-04T00:00:00,6:00 PM,2,,0,0,0,"","","",S WESTWOOD DR,W SUNSET AVE,"",739,"",39.16008655,-86.5906883,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,SNOW/SLUSH,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,WSUNSETAVESWESTWOODDR,""
310,MONROE SD,BLOOMINGTON,2022-04-09T00:00:00,9:17 PM,1,,0,0,0,"","","",W WOODYARD RD,N SMITH PIKE,"",0,"",39.19065199,-86.58313284,LOCAL/CITY ROAD,"",URBAN,N,N,Y,WORK ON SHOULDER,DARK (NOT LIGHTED),CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,UNSAFE SPEED,RAN OFF ROAD,WWOODYARDRDNSMITHPIKE,""
311,BLOOMINGTON PD,BLOOMINGTON,2022-02-28T00:00:00,9:00 AM,2,,0,0,0,"","","",I69 S RAMP,W 3RD ST,"",0,"",39.164524,-86.573263,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",RAMP,"",CONCRETE,FOLLOWING TOO CLOSELY,REAR END,W3RDSTI69SRAMP,""
312,ISP BLOOMINGTON 33,BLOOMINGTON,2022-04-12T00:00:00,11:59 AM,2,,0,0,0,"","","",I-69,"","",0,"",39.18235996,-86.55688245,INTERSTATE,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,I-69119.5,""
313,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-03-21T00:00:00,4:45 PM,2,,0,0,0,509,"","",E 4TH ST,"","",0,"",39.16568338,-86.52764616,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,IMPROPER TURNING,RIGHT TURN,E4THST,""
314,BLOOMINGTON PD,BLOOMINGTON,2022-02-17T00:00:00,4:04 PM,2,,0,0,0,3220,"","",E 3RD ST,"","",0,"",39.16344464,-86.49206507,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E3RDST,""
315,MONROE SD,BLOOMINGTON,2022-04-26T00:00:00,2:11 PM,3,,7,0,0,"","","",STATE RD 46,E WOODVIEW DR,"",0,"",39.15153578,-86.38610387,STATE ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,STATERD46EWOODVIEWDR,""
316,BLOOMINGTON PD,BLOOMINGTON,2022-05-20T00:00:00,11:00 AM,2,,0,0,0,"","","",E. DODDS ST,S. LINCOLN ST,"",0,"",39.157369,-86.531301,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,IMPROPER PASSING,SAME DIRECTION SIDESWIPE,S.LINCOLNSTE.DODDSST,""
317,MONROE SD,BLOOMINGTON,2022-04-26T00:00:00,4:33 PM,2,,0,0,0,"","","",W STATE RD 46,W STATE RD 46,"",0,"",39.20993435,-86.58268398,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,WSTATERD46WSTATERD46,""
318,BLOOMINGTON PD,BLOOMINGTON,2022-04-11T00:00:00,9:50 PM,2,,0,0,0,3900,"","",E 3RD ST,"","",0,"",39.16383241,-86.47983287,PRIVATE DRIVE,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,E3RDST,""
319,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-13T00:00:00,11:08 AM,1,0,0,0,0,701,"","",EAST 17TH,"","",,"",39.1809087,-86.5255927,OTHER,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,EAST17THST,OTHER
320,MONROE SD,BLOOMINGTON,2022-01-10T00:00:00,5:31 PM,3,0,0,0,0,"","","",ROCKPORT,W TAPP,"",,"",39.136332,-86.548756,LOCAL/CITY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ROCKPORTRDWTAPPRD,TRAFFIC CONTROL SIGNAL
321,MONROE SD,BLOOMINGTON,2022-01-08T00:00:00,4:56 PM,1,0,0,0,0,"","","",S HARMONY,S MOUNT ZION,"",500,N,39.068352,-86.626,COUNTY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,RAIN,ICE,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SHARMONYRDSMOUNTZIONRD,NONE
322,MONROE SD,BLOOMINGTON,2022-01-01T00:00:00,4:04 PM,1,0,0,0,0,"","","",E ROGERS,S SNODDY,"",,"",39.13576,-86.489488,OTHER,N,URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,RAN OFF ROAD,EROGERSRDSSNODDYRD,STOP SIGN
323,ELLETTSVILLE PD,ELLETTSVILLE,2022-02-09T00:00:00,10:55 AM,2,0,0,0,0,"","","",SR46W,UNION VALLEY,"",,"",39.215152,-86.5928,STATE ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,VIEW OBSTRUCTED,REAR END,SR46WUNIONVALLEYDR,TRAFFIC CONTROL SIGNAL
324,ELLETTSVILLE PD,ELLETTSVILLE,2022-02-28T00:00:00,11:22 AM,2,0,0,0,0,"","","",SECOND,RITTER,"",,"",39.230096,-86.624528,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,RITTERDRSECONDST,STOP SIGN
325,ELLETTSVILLE PD,ELLETTSVILLE,2022-03-04T00:00:00,8:28 AM,2,0,0,0,0,"","","",SR46W,HARTSTRAIT,"",,"",39.227624,-86.615919,STATE ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,HARTSTRAITRDSR46W,TRAFFIC CONTROL SIGNAL
326,ELLETTSVILLE PD,ELLETTSVILLE,2022-04-10T00:00:00,7:28 PM,2,0,1,0,0,"","","",W TEMPERANCE,SALE,"",,"",39.23384,-86.624704,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,SALESTWTEMPERANCEST,TRAFFIC CONTROL SIGNAL
327,ELLETTSVILLE PD,ELLETTSVILLE,2022-03-07T00:00:00,8:14 AM,2,0,0,0,0,"","","",SALE,TEMPERANCE,"",75,N,39.23399198,-86.6245252,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SALESTTEMPERANCEST,LANE CONTROL
328,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-07T00:00:00,2:00 PM,2,,0,0,0,"","","",N UNION ST,"","",0,"",39.17009406,-86.50927549,"","",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE SPEED,RIGHT ANGLE,NUNIONST,""
329,BLOOMINGTON PD,BLOOMINGTON,2022-01-17T00:00:00,2:30 AM,1,,0,0,0,"","","",STATE RD 46,STATE RD 37,"",0,"",39.1869472,-86.55135776,STATE ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),SNOW,SNOW/SLUSH,"",RAMP,"",ASPHALT,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,COLLISION WITH OBJECT IN ROAD,STATERD46STATERD37,""
330,BLOOMINGTON PD,BLOOMINGTON,2022-01-20T00:00:00,3:35 PM,2,,0,0,0,528,"","",S COLLEGE AVE,"","",0,"",39.16026616,-86.53563011,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,SCOLLEGEAVE,""
331,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-20T00:00:00,5:35 PM,2,,0,0,0,"","","",E 3RD ST,S JORDAN AVE,"",0,"",39.164268,-86.51660777,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SJORDANAVEE3RDST,""
332,BLOOMINGTON PD,BLOOMINGTON,2022-01-19T00:00:00,1:37 PM,2,,0,0,0,"","","",S PETE ELLIS DR,E 3RD ST,"",0,"",39.16433814,-86.49492436,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SPETEELLISDRE3RDST,""
333,BLOOMINGTON PD,BLOOMINGTON,2022-01-21T00:00:00,11:10 PM,2,,0,0,0,"","","",E LONGVIEW AVE,"","",0,"",39.16722974,-86.4937574,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,ELONGVIEWAVE,""
334,BLOOMINGTON PD,BLOOMINGTON,2022-01-20T00:00:00,6:33 AM,1,,0,0,0,"","","",W 2ND ST,S ROGERS ST,"",0,"",39.16146055,-86.5385086,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),SNOW,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,BRAKE FAILURE OR DEFECTIVE,RAN OFF ROAD,W2NDSTSROGERSST,""
335,BLOOMINGTON PD,BLOOMINGTON,2022-01-24T00:00:00,7:21 AM,2,,1,0,0,"","","",S ROGERS ST,W DIXIE ST,"",106,"",39.15640392,-86.53871245,"","",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO MAINTAIN LANE,REAR END,WDIXIESTSROGERSST,""
336,BLOOMINGTON PD,BLOOMINGTON,2022-01-05T00:00:00,3:07 AM,2,,1,0,0,"","","",S COLLEGE AVE,W 1ST ST,"",0,"",39.15940993,-86.53496451,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,W1STSTSCOLLEGEAVE,""
337,ISP BLOOMINGTON 33,BLOOMINGTON,2022-01-08T00:00:00,3:30 PM,1,,1,0,0,"","","",I69,"","",0,"",39.05581749,-86.68101928,INTERSTATE,"",RURAL,N,N,N,"",DAYLIGHT,CLOUDY,ICE,"",NO JUNCTION INVOLVED,"",CONCRETE,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,I69105.5,""
338,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-20T00:00:00,8:10 PM,2,,0,0,0,"","","",E KIRKWOOD AVE,S INDIANA AVE,"",0,"",39.1665085,-86.52705378,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,SINDIANAAVEEKIRKWOODAVE,""
339,ELLETTSVILLE PD,BLOOMINGTON,2022-01-21T00:00:00,7:45 AM,1,,0,0,1,"","","",W FULLERTON PIKE,S ROCKPORT RD,"",0,"",39.12225832,-86.56528815,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAWN/DUSK,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,WFULLERTONPIKESROCKPORTRD,""
340,MONROE SD,BLOOMINGTON,2022-01-22T00:00:00,6:15 AM,1,,0,0,1,"","","",I-69,"","",475,"",39.08520093,-86.57421774,INTERSTATE,"",RURAL,N,Y,N,"",DAWN/DUSK,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,I-69112.2,""
341,MONROE SD,BLOOMINGTON,2022-01-15T00:00:00,2:06 PM,2,,0,0,0,4025,"","",S OLD SR 37,"","",0,"",39.120322,-86.529233,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,SOLDSR37,""
342,BLOOMINGTON PD,BLOOMINGTON,2022-01-31T00:00:00,2:42 AM,2,,0,0,0,"","","",S WALNUT ST,E KIRKWOOD AVE,"",0,"",39.16644265,-86.53359837,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO MAINTAIN LANE,SAME DIRECTION SIDESWIPE,SWALNUTSTEKIRKWOODAVE,""
343,BLOOMINGTON PD,BLOOMINGTON,2022-01-06T00:00:00,2:02 PM,2,,0,0,0,"","","",1709 W. 8TH ST,N SPRING ST,"",500,"",39.1689583,-86.55556,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,NSPRINGST1709W.8THST,""
344,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-17T00:00:00,7:10 PM,2,,0,0,0,"","","",N JORDAN AVE,E 10TH ST,"",0,"",39.17124556,-86.5156383,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NJORDANAVEE10THST,""
345,MONROE SD,BLOOMINGTON,2022-01-27T00:00:00,6:10 AM,1,,0,0,0,"","","",5000 E LAMPKINS RIDGE RD,"","",0,"",0,0,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,5000ELAMPKINSRIDGERD,""
346,BLOOMINGTON PD,BLOOMINGTON,2022-01-13T00:00:00,6:30 AM,2,,0,0,0,"","","",W 12TH ST,"","",0,"",39.17417311,-86.55004867,OTHER,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,W12THST,""
347,BLOOMINGTON PD,BLOOMINGTON,2022-01-02T00:00:00,6:24 PM,1,,0,0,0,"","","",500 SOUTH MULLER PARKWAY,"","",0,"",0,0,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,STEERING FAILURE,OTHER - EXPLAIN IN NARRATIVE,500SOUTHMULLERPARKWAY,""
348,BLOOMINGTON PD,BLOOMINGTON,2022-01-09T00:00:00,7:02 AM,1,,0,0,1,"","","",E MOORES PIKE,S OLCOTT BLVD,"",0,"",39.15019301,-86.48503585,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),RAIN,WET,"",T-INTERSECTION,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,SOLCOTTBLVDEMOORESPIKE,""
349,MONROE SD,BLOOMINGTON,2022-01-12T00:00:00,10:16 AM,1,,0,0,0,"","","",STATE RD 45,N BENTON DR,"",422,"",39.21938266,-86.44360387,STATE ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,OVERSIZE/OVERWEIGHT LOAD,RAN OFF ROAD,STATERD45NBENTONDR,""
