_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
14,ELLETTSVILLE PD,ELLETTSVILLE,2022-02-17T00:00:00,11:14 AM,2,0,0,0,0,"","","",SALE,RITTER,"",,"",39.232048,-86.627296,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,RAIN,WATER (STANDING OR MOVING),"",NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,RITTERSTSALEST,LANE CONTROL
15,BLOOMINGTON PD,BLOOMINGTON,2022-04-20T00:00:00,2:03 PM,2,0,0,0,0,"","","",N LINCOLN,E 19TH,"",,"",39.18112,-86.530816,LOCAL/CITY ROAD,Y,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,E19THSTNLINCOLNST,STOP SIGN
16,ELLETTSVILLE PD,ELLETTSVILLE,2022-05-10T00:00:00,4:35 PM,2,0,0,0,0,"","","",SR46W,TEMPERANCE,"",,"",39.226352,-86.614192,STATE ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",TRAFFIC CIRCLE/ROUNDABOUT,CURVE/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SR46WTEMPERANCEST,NONE
17,BLOOMINGTON PD,BLOOMINGTON,2022-01-14T00:00:00,6:17 AM,2,,0,0,0,"","","",1119 N. MADISON,"","",0,"",0,0,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),FOG/SMOKE/SMOG,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,1119N.MADISON,""
18,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-21T00:00:00,10:00 AM,2,,0,0,0,1514,"","",EAST 3RD STREET,"","",0,"",39.16358018,-86.51466095,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",CONCRETE,FAILURE TO YIELD RIGHT OF WAY,BACKING CRASH,EAST3RDSTREET,""
19,ISP BLOOMINGTON 33,BLOOMINGTON,2022-01-11T00:00:00,7:30 AM,2,,0,0,0,"","","",E MATLOCK RD,N MARTHA ST,"",0,"",39.18628973,-86.53163477,STATE ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NMARTHASTEMATLOCKRD,""
20,MONROE SD,BLOOMINGTON,2022-01-17T00:00:00,7:29 PM,1,,0,0,0,"","","",S FAIRFAX RD,S MCCORMICK LN,"",738,"",0,0,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,SMCCORMICKLNSFAIRFAXRD,""
21,BLOOMINGTON PD,BLOOMINGTON,2022-01-23T00:00:00,1:36 AM,2,,0,0,0,"","","",E 3RD ST,E MORNINGSIDE DR,"",0,"",39.1673603,-86.47526523,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,EMORNINGSIDEDRE3RDST,""
22,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-09T00:00:00,8:40 PM,2,,0,0,0,"","","",E 10TH ST,N WOODLAWN AVE,"",0,"",39.17164897,-86.5237493,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NWOODLAWNAVEE10THST,""
23,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-19T00:00:00,8:55 AM,2,,0,0,0,"","","",N JORDAN AVE,E LAW LN,"",0,"",39.17346218,-86.5154881,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NJORDANAVEELAWLN,""
