Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
MONROE SD,BLOOMINGTON,4/26/2019,2:51 PM,2,0,0,0,0,,,,W VERNAL,W HOWARD RD,,200,S,39.187248,-86.635696,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,WHOWARDRDWVERNALPIKE,NONE
BLOOMINGTON PD,BLOOMINGTON,4/27/2019,9:41 PM,2,0,0,0,0,,,,W 3RD,I-69,,,,39.164752,-86.573104,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,INTERCHANGE,CURVE/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SSTATEROAD37RPW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,4/27/2019,5:45 PM,2,0,0,0,0,,,,S DUNN,E KIRKWOOD AVE,,,,39.16664,-86.528192,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,OTHER - EXPLAIN IN NARRATIVE,EKIRKWOODAVESDUNNST,STOP SIGN
MONROE SD,BLOOMINGTON,4/27/2019,6:53 AM,1,0,0,0,0,,,,SR 46,E BENDER RD,,,,39.163648,-86.438,STATE ROAD,N,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EBENDERRDSR46E,NONE
BLOOMINGTON PD,BLOOMINGTON,4/27/2019,4:28 PM,2,0,0,0,0,,,,E WINSLOW,E ALLENDALE RD,,,,39.136096,-86.516,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ALLENDALEDREWINSLOWRD,STOP SIGN
ISP BLOOMINGTON 33,BLOOMINGTON,4/27/2019,6:35 AM,1,0,0,0,1,,,,I-69 N,,,250,S,0,0,INTERSTATE,N,RURAL,N,Y,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,I69107.5,LANE CONTROL
MONROE SD,BLOOMINGTON,4/27/2019,9:00 PM,1,0,0,0,1,,,,SR 446,E LAMPKINS RIDGE RD,,2000,S,39.14511825,-86.47057946,STATE ROAD,N,RURAL,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,LAMPKINSRIDGERDSR446N,NONE
BLOOMINGTON PD,BLOOMINGTON,4/27/2019,10:17 AM,2,0,1,0,0,,,,W 2ND,S MORTON ST,,40,E,39.16139,-86.53631346,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,TRAIL CROSSINGS,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SMORTONSTW2NDST,NONE
MONROE SD,BLOOMINGTON,4/27/2019,10:10 AM,2,0,0,0,0,,,,W HENNESSEY,S ROCKPORT RD,,,,39.12819,-86.55672,COUNTY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,LEFT TURN,SROCKPORTRDWHENNESSEYRD,NONE
BLOOMINGTON PD,BLOOMINGTON,4/28/2019,11:54 AM,2,0,0,0,0,,,,I-69 S,SR 45,Y,,,0,0,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,I69RAMPSR45W,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,4/28/2019,9:50 PM,2,0,0,0,0,,,,SR 45/46,SR 45,,,,0,0,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,SR45SR46,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,4/28/2019,11:46 AM,2,0,0,0,0,,,,W PROFILE,N CURRY PIKE,,1000,W,39.17198,-86.58290341,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NCURRYPIKEWPROFILEPKWY,NONE
MONROE SD,BLOOMINGTON,4/28/2019,4:37 AM,1,0,0,0,0,,,,SR 45,E MARTIN DR,,500,S,39.20369283,-86.46408214,STATE ROAD,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EASTMARTINDRSR45E,NONE
BLOOMINGTON PD,BLOOMINGTON,4/28/2019,3:27 AM,1,0,1,0,0,,,,N LINCOLN,E 7TH ST,,,,39.16864,-86.530992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,E7THSTNLINCOLNST,STOP SIGN
