Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
BLOOMINGTON PD,BLOOMINGTON,1/1/2019,6:39 PM,2,0,1,0,0,,,,SR 45,N PETE ELLIS DR,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E1OTHSTNPETEELLISDR,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/1/2019,8:00 AM,1,0,0,0,0,2215,,,E COVENANTER,,,,,39.15555,-86.50447,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,ECONVENANTERDR,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/1/2019,12:47 PM,1,0,1,0,0,,,,N JORDAN,E 7TH ST,,,,39.169065,-86.516155,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,OTHER - EXPLAIN IN NARRATIVE,7THSTJORDANAVE,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/1/2019,1:50 AM,2,0,0,0,0,,,,N WALNUT,W 8TH ST,,100,N,39.16891463,-86.53356318,LOCAL/CITY ROAD,Y,URBAN,,,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,OPPOSITE DIRECTION SIDESWIPE,7THSTWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/1/2019,3:28 AM,2,0,0,0,0,,,,W 7TH,N WALDRON ST,,,,39.168752,-86.5436,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NWALDRONSTW7THST,NONE
MONROE SD,BLOOMINGTON,1/1/2019,4:55 AM,1,0,1,0,0,,,,W ARLINGTON,,,840,W,39.20772792,-86.57433221,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,ARLINGTONRDRAJUMIST,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,1/2/2019,1:27 PM,2,0,0,0,0,,,,SR 45,I-69 S,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,RAMP,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SBRAMPONTOSR37RAMPW3RDST,YIELD SIGN
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/2/2019,10:27 AM,1,0,0,0,0,,,,N INDIANA,E 17TH ST,,25,S,39.17637542,-86.52705,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,MUDDY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,GRAVEL,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,17THSTINDIANAAVE,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,1/2/2019,9:12 AM,2,0,0,0,0,,,,N WALNUT,E 14TH ST,,,,39.175952,-86.53344,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,LEFT/RIGHT TURN,14THSTWALNUTST,LANE CONTROL
MONROE SD,BLOOMINGTON,1/2/2019,1:30 PM,2,0,2,0,0,,,,SR 45,W DINSMORE RD,,300,W,39.11460543,-86.63189064,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,DINSMORERDSR45W,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/2/2019,7:15 PM,2,0,0,0,0,,,,SR 46,N 1ST ST,,,,39.23144,-86.621296,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,FIRSTSTSTSR46W,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,1/3/2019,7:00 PM,1,0,,0,0,919,,,ALLEY,W KIRKWOOD AVE,,,,39.16657314,-86.53914268,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,UNKNOWN,,DRY,,T-INTERSECTION,STRAIGHT/GRADE,GRAVEL,IMPROPER TURNING,,PUBLICALLEYAT919WKIRKWOODALYWKIRKWOODAVE,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/3/2019,4:40 PM,1,0,0,0,0,,,,E TECUMSEH,S DEER RUN,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,CELL PHONE USAGE,RAN OFF ROAD,DEERRUNTECUMSEHDR,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/3/2019,2:13 PM,2,0,0,0,0,,,,S HAWTHORNE,E 3RD ST,,,,39.164255,-86.51989,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,HAWTHORNELNTHIRDST,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/4/2019,5:15 PM,2,0,0,0,0,,,,SR 45,SR 45/46,,500,E,39.18686,-86.54669827,STATE ROAD,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SR45SR46,NONE
BLOOMINGTON PD,BLOOMINGTON,1/4/2019,4:55 PM,2,0,0,0,0,,,,S CURRY,SR 45,,,,0,0,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SCURRYPIKEWSTATEROAD45RD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/4/2019,7:00 PM,2,0,1,0,0,,,,W 2ND,S ROGERS ST,,,,39.16152,-86.538592,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,E2NDSTSROGERSST,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,1/4/2019,3:22 PM,2,0,0,0,0,,,,S CURRY,W VERNAL PIKE,,,,39.179248,-86.5832,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SCURRYPIKEWVERNALPIKE,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/4/2019,7:26 PM,2,0,2,0,0,,,,W 17TH,N KINSER PIKE,,,,39.178992,-86.537792,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,NKINSERPIKEW17THST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/4/2019,6:00 PM,2,0,1,0,0,,,,N WALNUT,W OLD SR 37,,,,39.250688,-86.529744,STATE ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,INTERCHANGE,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NWALNUTSTSR37N,NONE
BLOOMINGTON PD,BLOOMINGTON,1/4/2019,5:13 PM,2,0,0,0,0,1870,,,S WALNUT,E NORTH DR,,500,N,39.144752,-86.531888,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,RAIN,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,1870SOUTHWALNUTSTEASTNORTHST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/4/2019,1:20 PM,1,0,0,0,0,,,,W BLOOMFIELD,W ALLEN ST,,,,39.156255,-86.5609,,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,WALLENSTWBLOOMFIELDRD,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/4/2019,12:20 AM,2,0,0,0,0,,,,N WALNUT,W 6TH ST,,,,39.16733,-86.5336,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SIXTHSTWALNUTST,TRAFFIC CONTROL SIGNAL
ISP BLOOMINGTON 33,BLOOMINGTON,1/4/2019,8:55 AM,2,0,0,0,0,,,,S CURRY,W GIFFORD RD,,250,N,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,CURRYPIKEGIFFORDRD,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,1/4/2019,9:58 PM,2,0,0,0,0,,,,S SMITH,E MOORES PIKE,,400,S,39.10793776,-86.48046,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,EMOORESPIKESSMITHRD,LANE CONTROL
ELLETTSVILLE PD,ELLETTSVILLE,1/4/2019,8:27 PM,2,0,3,0,0,,,,SR 46,N LOVE LN,,330,W,39.22126695,-86.60579541,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,RIGHT ANGLE,LOVELNSR46W,NONE
BLOOMINGTON PD,BLOOMINGTON,1/5/2019,7:06 PM,2,0,0,0,0,,,,SR 45,I-69 S,Y,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,SBI69ENTRANCERAMPWBLOOMFIELDRD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/5/2019,6:56 AM,2,0,2,0,0,,,,SR 45,N SMITH RD,,100,W,39.172752,-86.482288,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,HEAD ON BETWEEN TWO MOTOR VEHICLES,E10THSTSMITHRD,NONE
BLOOMINGTON PD,BLOOMINGTON,1/5/2019,6:57 AM,3,0,1,0,0,,,,SR 45,N SMITH RD,,100,W,39.172752,-86.482288,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,OTHER - EXPLAIN IN NARRATIVE,E10THSTSMITHRD,NONE
BLOOMINGTON PD,BLOOMINGTON,1/5/2019,4:04 PM,2,0,0,0,0,,,,S PARK RIDGE,SR 46,,50,S,39.16424,-86.476096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E3RDSTSPARKRIDGERD,NONE
BLOOMINGTON PD,BLOOMINGTON,1/5/2019,6:10 PM,2,0,7,0,0,,,,W 3RD,S CORY LN,,,,39.164544,-86.560096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SCORYLNW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/5/2019,6:48 PM,2,0,0,0,0,,,,W ALLEN,W BLOOMFIELD RD,,,,39.156255,-86.5609,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,WALLENSTWBLOOMFIELDRD,STOP SIGN
ISP BLOOMINGTON 33,BLOOMINGTON,1/5/2019,7:05 AM,1,0,0,0,0,,,,SR 37,E MONROE DAM RD,,100,S,39.020048,-86.536096,STATE ROAD,N,RURAL,N,Y,N,,DAWN/DUSK,CLEAR,ICE,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,MONROEDAMRDSR37,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/5/2019,9:25 PM,2,0,0,0,0,,,,E ATWATER,N JORDAN AVE,,,,39.1631,-86.5164,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,ATWATERAVEJORDANAVE,TRAFFIC CONTROL SIGNAL
ELLETTSVILLE PD,ELLETTSVILLE,1/5/2019,9:40 PM,2,0,0,0,0,,,,I-69 S,,,3000,N,0,0,INTERSTATE,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,IMPROPER LANE USAGE,REAR END,COLLEGEAVEI69S,LANE CONTROL
MONROE SD,BLOOMINGTON,1/5/2019,5:04 AM,1,0,1,0,0,,,,S OLD SR 37,S DELLSVILLE RD,,,,39.06614,-86.54152,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,T-INTERSECTION,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SOUTHDELLSVILLERDSR37S,NONE
MONROE SD,BLOOMINGTON,1/5/2019,5:43 AM,2,0,0,0,0,,,,S OLD SR 37,S DELLSVILLE RD,,,,39.06614,-86.54152,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,T-INTERSECTION,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SOUTHDELLSVILLERDSR37S,NONE
MONROE SD,BLOOMINGTON,1/5/2019,11:37 AM,2,0,0,0,0,,,,SR 37,I-69 N,,100,S,0,0,STATE ROAD,Y,,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,CURVE/GRADE,ASPHALT,IMPROPER LANE USAGE,OTHER - EXPLAIN IN NARRATIVE,I69NSR37N,NONE
MONROE SD,BLOOMINGTON,1/5/2019,3:31 PM,1,0,0,0,1,,,,SR 45,S GARRISON CHAPEL RD,,100,E,39.11108,-86.63820866,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,GARRISONCHAPPELRDSR45W,NONE
MONROE SD,BLOOMINGTON,1/5/2019,4:28 AM,1,0,0,0,0,,,,SR 45,,,756,E,0,0,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ROADWAY SURFACE CONDITION,RAN OFF ROAD,SPARKSLNSR45W,LANE CONTROL
MONROE SD,BLOOMINGTON,1/5/2019,7:37 AM,1,0,0,0,0,,,,SR 46,S LORI LN,,250,W,39.16627714,-86.46685431,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,LORILNSR46E,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/5/2019,11:50 AM,2,0,0,0,0,,,,SR 46,W MAPLE GROVE RD,,400,E,39.24574,-86.63675465,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,REDHIILRDSR46W,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,1/6/2019,1:02 PM,2,0,0,0,0,,,,S ROGERS,W 3RD ST,,,,39.16472,-86.538592,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SOUTHROGERSSTWEST3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/7/2019,3:50 PM,1,0,0,0,0,,,,SR 46,SR 46,,,,39.16424,-86.473296,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF ROAD,E3RDSTSR46N,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/7/2019,4:35 PM,2,0,0,0,0,,,,N COLLEGE,W KIRKWOOD AVE,,30,N,39.16664,-86.5348,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,WRONG WAY ON ONE WAY,RIGHT ANGLE,NCOLLEGEAVEWKIRKWOODAVE,NONE
BLOOMINGTON PD,BLOOMINGTON,1/7/2019,3:09 PM,2,0,0,0,0,,,,E 3RD,S HILLSDALE DR,,300,E,39.164272,-86.502416,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,E3RDSTSHILLSDALEDR,NONE
BLOOMINGTON PD,BLOOMINGTON,1/7/2019,4:46 PM,2,0,0,0,0,,,,E KIRKWOOD,S WASHINGTON ST,,,,39.16664,-86.5324,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,EKIRKWOODAVESWASHINGTONST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/7/2019,3:35 AM,1,0,2,0,0,,,,I-69 S,,,300,S,41.23833117,-85.09281739,INTERSTATE,N,URBAN,N,N,Y,WORK ON SHOULDER,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,I69S120,NONE
BLOOMINGTON PD,BLOOMINGTON,1/7/2019,3:27 PM,1,0,0,0,0,,,,S CURRY,W ROLL AVE,,,,39.1472,-86.58259,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,RAN OFF ROAD,SCURRYPIKEWROLLAVE,STOP SIGN
ISP BLOOMINGTON 33,BLOOMINGTON,1/7/2019,12:05 PM,2,0,0,0,0,,,,SR 46,E TRAILWAY DR,,1000,E,39.16355934,-86.42589328,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,REAR END,SR46TRAILWAYDR,LANE CONTROL
ISP BLOOMINGTON 33,BLOOMINGTON,1/7/2019,6:20 PM,1,0,1,0,0,,,,SR 46,,,450,W,0,0,STATE ROAD,Y,RURAL,N,N,N,,DAWN/DUSK,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,I69SR46,LANE CONTROL
MONROE SD,BLOOMINGTON,1/7/2019,11:11 PM,2,0,1,0,0,4111,,,W VERNAL,,,,,39.17753,-86.58026,UNKNOWN,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,SAME DIRECTION SIDESWIPE,WESTVERNALPIKE,NONE
BLOOMINGTON PD,BLOOMINGTON,1/8/2019,7:29 AM,2,0,1,0,0,,,,SR 46 ,E 3RD ST,,,,39.16424,-86.473296,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,3RDSTSR46RD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/8/2019,6:33 AM,2,0,1,0,0,,,,SR 48,S CURRY PIKE,,,,39.16464333,-86.58301666,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NORTHCURRYPIKEWEST3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/8/2019,11:10 AM,2,0,0,0,0,,,,SR 48,S GATES DR,,,,39.164785,-86.576035,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,3RDSTGATESDR,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/8/2019,9:13 PM,1,0,0,0,0,4531,,,SR 46,SR 446,,,,39.164288,-86.473488,UNKNOWN,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,RAN OFF ROAD,E3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/8/2019,4:14 PM,2,0,0,0,0,,,,S WALNUT,E MILLER DR,,1300,S,39.146944,-86.532544,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EASTMILLERRDSOUTHWALNUTST,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/8/2019,12:30 PM,2,0,0,0,0,1315,,,E 10TH,,,,,39.17157943,-86.51826514,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,E10THST,NONE
MONROE SD,BLOOMINGTON,1/8/2019,12:16 AM,1,0,0,0,1,,,,N HARTSTRAIT,W WOODYARD RD,,,,0,0,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,HARTSTRAITRDWOODYARDRD,STOP SIGN
MONROE SD,BLOOMINGTON,1/8/2019,11:48 PM,1,0,0,0,0,,,,N UNION VALLY,W MAPLE GROVE RD,,900,N,39.244752,-86.5928,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SEVERE CROSS WIND,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH OBJECT IN ROAD,NUNIONVALLYRDWMAPLEGROVERD,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,1/8/2019,2:50 PM,2,0,0,0,0,,,,SR 48,W PROFILE PKWY,,,,39.164735,-86.592455,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,PROFILEPKWYSR48,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/9/2019,11:01 AM,2,0,2,0,0,,,,W 3RD,I-69,Y,,,39.164752,-86.573104,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SR37NW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/9/2019,6:13 PM,2,0,0,0,0,,,,S COLLEGE MALL,E BUICK CADILLAC BLVD,,,,39.15811,-86.49789,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EBUICKCADILLACBLVDSCOLLEGEMALLRD,TRAFFIC CONTROL SIGNAL
