_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
1,MONROE SD,BLOOMINGTON,2021-12-31T00:00:00,12:30 AM,1,0,1,0,0,"","","",W ROCK EAST RD,"","",1300,W,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DARK (NOT LIGHTED),RAIN,WET,"",NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,MOUNTZIONRDROCKEASTRD,NONE
2,MONROE SD,BLOOMINGTON,2021-12-31T00:00:00,12:50 AM,1,0,1,0,0,"","","",E SMITHVILLE RD,"","",300,E,,,LOCAL/CITY ROAD,N,RURAL,N,N,N,"",DARK (NOT LIGHTED),RAIN,WET,"",NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,POPULARESTSMITHVILLERD,LANE CONTROL
3,BLOOMINGTON PD,BLOOMINGTON,2021-12-31T00:00:00,12:31 PM,2,,0,0,0,"","","",SR 46,E 3RD ST,"",0,"",39.16427789,-86.49838408,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO MAINTAIN LANE,SAME DIRECTION SIDESWIPE,STATERD46E3RDST,""
4,MONROE SD,BLOOMINGTON,2021-12-31T00:00:00,10:15 PM,2,0,0,0,0,7533,"","",N CAPTAINS WAY,"","",,"",,,LOCAL/CITY ROAD,Y,RURAL,N,N,N,"",DARK (NOT LIGHTED),RAIN,WET,"",NO JUNCTION INVOLVED,NON-ROADWAY CRASH,GRAVEL,UNSAFE BACKING,BACKING CRASH,NCAPTAINSWAY,NONE
5,MONROE SD,BLOOMINGTON,2021-12-30T00:00:00,2:41 AM,1,0,0,0,0,"","","",W VERNAL PIKE,N OARD RD,"",,"",39.181344,-86.637104,COUNTY ROAD,N,RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,WET,"",Y-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,OARDRDVERNALPIKE,NONE
6,BLOOMINGTON PD,BLOOMINGTON,2021-12-30T00:00:00,2:36 PM,2,,0,0,0,"","","",S CLARIZZ BLVD,SR 46,"",0,"",39.16365591,-86.49068111,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SCLARIZZBLVDE3RDST,""
7,BLOOMINGTON PD,BLOOMINGTON,2021-12-30T00:00:00,5:30 PM,1,,0,0,0,500,"","",S MULLER PKWY,"","",0,"",,,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF ROAD,500SMULLERPKWY,""
8,BLOOMINGTON PD,BLOOMINGTON,2021-12-30T00:00:00,6:05 PM,1,,0,0,0,"","","",INDIANA RAILROAD,"","",0,"",39.17280511,-86.55873603,UNKNOWN,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,WET,"",NO JUNCTION INVOLVED,"",OTHER - EXPLAIN IN NARRATIVE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,WGRAYST,""
9,BLOOMINGTON PD,BLOOMINGTON,2021-12-29T00:00:00,2:56 AM,2,,0,0,0,"","","",E WYLIE ST,S WASHINGTON ST,"",0,"",39.1583534,-86.53239674,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SWASHINGTONSTEWYLIEST,""
10,BLOOMINGTON PD,BLOOMINGTON,2021-12-29T00:00:00,3:45 AM,1,0,0,0,0,"","","",W 3RD ST,I-69 N,"",,"",,,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,WET,"",INTERCHANGE,STRAIGHT/LEVEL,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,STATEROAD69HWYW3RDST,NONE
11,MONROE SD,BLOOMINGTON,2021-12-29T00:00:00,10:00 AM,2,0,0,0,0,"","","",W VERNAL PIKE,N LOGAN RD,"",200,E,39.179248,-86.5744,COUNTY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,REAR END,NLOGANRDWVERNALPIKE,LANE CONTROL
12,BLOOMINGTON PD,BLOOMINGTON,2021-12-29T00:00:00,12:28 PM,2,,1,0,0,"","","",S ROGERS ST,W COUNTRY CLUB DR,"",0,"",,,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WCOUNTRYCLUBSROGERSST,""
13,MONROE SD,BLOOMINGTON,2021-12-29T00:00:00,4:31 PM,1,0,0,0,0,"","","",SR 48,"","",2500,E,,,STATE ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,GARRISONCAHPELRDSR48W,NONE
14,BLOOMINGTON PD,BLOOMINGTON,2021-12-29T00:00:00,7:31 PM,2,0,1,0,0,"","","",SR 45/46,E 10TH ST,"",,"",39.176848,-86.478192,STATE ROAD,Y,URBAN,N,N,N,"",DARK (LIGHTED),RAIN,WET,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E10THSTSR4546S,STOP SIGN
15,MONROE SD,BLOOMINGTON,2021-12-29T00:00:00,10:33 PM,1,0,0,0,0,"","","",S STONECHASE CROSSING,"","",500,E,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DARK (LIGHTED),CLOUDY,WET,"",NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,UNSAFE BACKING,OTHER - EXPLAIN IN NARRATIVE,SSTONECHASEXINGWCOBBLESTONEST,NONE
16,BLOOMINGTON PD,BLOOMINGTON,2021-12-28T00:00:00,4:49 AM,2,,0,0,0,"","","",E HILLSIDE DR,S HUNTINGTON DR,"",0,"",39.15055097,-86.52068443,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SHUNTINGTONDREHILLSIDEDR,""
17,MONROE SD,BLOOMINGTON,2021-12-28T00:00:00,6:25 AM,1,0,0,0,1,"","","",N SR 37 BUSINESS,"","",600,N,,,LOCAL/CITY ROAD,N,RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,WET,"",T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,NORTHBUSINESS37RDWESTBAYLESRD,NONE
18,BLOOMINGTON PD,BLOOMINGTON,2021-12-28T00:00:00,9:12 AM,1,,0,0,0,"","","",W BLOOMFIELD RD,S ADAMS ST,"",0,"",,,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,DRIVER ILLNESS,RAN OFF ROAD,WBLOOMFIELDRDSADAMSST,""
19,BLOOMINGTON PD,BLOOMINGTON,2021-12-28T00:00:00,12:10 PM,2,0,0,0,0,"","","",N KINSER PIKE,SR 45/46,"",,"",39.186544,-86.537888,LOCAL/CITY ROAD,Y,URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,NKINSERPIKESR46W,TRAFFIC CONTROL SIGNAL
20,BLOOMINGTON PD,BLOOMINGTON,2021-12-28T00:00:00,3:18 PM,3,,1,0,0,"","","",W COUNTRY CLUB DR,S BANTA AVE,"",500,"",,,"","",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,S.BANTAAVE1000BLKW.COUNTRYCLUBDRIVE,""
21,BLOOMINGTON PD,BLOOMINGTON,2021-12-28T00:00:00,8:30 PM,2,0,2,0,0,"","","",S ADAMS ST,S PATTERSON DR,"",,"",,,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DARK (LIGHTED),RAIN,WET,"",NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,SPATTERSONDRW3RDST,TRAFFIC CONTROL SIGNAL
22,MONROE SD,BLOOMINGTON,2021-12-28T00:00:00,8:56 PM,1,0,0,0,0,1535,"","",S GARRISON CHAPEL RD,"","",500,N,39.141648,-86.6428,UNKNOWN,N,URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,WET,"",NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,speed too fast - weather conditions (originally: RAN OFF ROAD),1535SGARRISONCHAPELRDWSPICERLN,LANE CONTROL
23,MONROE SD,BLOOMINGTON,2021-12-27T00:00:00,8:40 AM,1,0,3,0,0,"","","",S ROCKPORT RD,W TRAMWAY RD,"",200,S,,,COUNTY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLEAR,WET,"",NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SROCKPORTRDWTRAMWAYRD,NONE
24,MONROE SD,BLOOMINGTON,2021-12-27T00:00:00,12:30 PM,1,0,0,0,0,"","","",SR 48,"","",1400,W,39.16379806,-86.62474254,STATE ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NOARDRDSR48W,NO PASSING ZONE
25,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2021-12-27T00:00:00,8:10 PM,2,,1,0,0,"","","",SR 46,SR 45,"",220,"",39.17084008,-86.50174982,STATE ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,STATERD4610THSTREET,""
26,MONROE SD,BLOOMINGTON,2021-12-27T00:00:00,11:17 PM,1,0,0,0,0,"","","",S FAIRFAX RD,E SANDERS SECOND AVE,"",150,S,,,LOCAL/CITY ROAD,Y,RURAL,N,Y,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EASTSANDERSSECONDAVESOUTHFAIRFAXRD,NONE
27,MONROE SD,BLOOMINGTON,2021-12-26T00:00:00,8:54 AM,2,0,0,0,0,"","","",SR 46,W ARLINGTON RD,"",150,E,39.20954098,-86.58226873,STATE ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,ARLINGTONRDSR46E,TRAFFIC CONTROL SIGNAL
28,BLOOMINGTON PD,BLOOMINGTON,2021-12-26T00:00:00,10:35 AM,2,0,0,0,0,"",I69,N,W 3RD ST,I-69 N,"",,"",,,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",RAMP,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,THIRDST,TRAFFIC CONTROL SIGNAL
29,MONROE SD,BLOOMINGTON,2021-12-25T00:00:00,10:10 AM,2,0,0,0,0,800,"","",N ALLEN ST,KELLY ST,"",,"",39.23806998,-86.62672604,UNKNOWN,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,NALLENST,NONE
30,MONROE SD,BLOOMINGTON,2021-12-25T00:00:00,12:04 PM,1,0,0,0,0,"","","",W WOODYARD RD,"","",500,W,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLOUDY,WET,"",NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NSMITHPIKEWWOODYARDRD,LANE CONTROL
31,BLOOMINGTON PD,BLOOMINGTON,2021-12-25T00:00:00,1:38 PM,1,0,1,0,0,"","","",SR 46,S CLARIZZ BLVD,"",,"",39.16424,-86.4908,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,CLARIZZBLVDE3RDST,TRAFFIC CONTROL SIGNAL
32,MONROE SD,BLOOMINGTON,2021-12-24T00:00:00,10:33 AM,2,0,0,0,0,"","","",SR 45,S GARRISON CHAPEL RD,"",,"",,,STATE ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,GARRISONCHAPLRDSR45N,STOP SIGN
33,MONROE SD,BLOOMINGTON,2021-12-24T00:00:00,11:05 AM,1,0,0,0,1,"","","",W VERNAL PIKE,"","",1000,W,,,LOCAL/CITY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,6000BLOCKWESTVERNALPIKE6000BLOCKWESTVERNALPIKE,NONE
34,BLOOMINGTON PD,BLOOMINGTON,2021-12-24T00:00:00,5:07 PM,2,,1,0,0,"","","",S WASHINGTON ST,E GRIMES LN,"",0,"",39.15342828,-86.53261131,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SOUTHWASHINGTONEASTGRIMES,""
35,MONROE SD,BLOOMINGTON,2021-12-24T00:00:00,7:05 PM,1,0,1,0,0,"","","",E SCHACHT RD,"","",1800,E,39.10704,-86.523488,LOCAL/CITY ROAD,N,RURAL,N,N,N,"",DARK (NOT LIGHTED),CLOUDY,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,ESCHACHTRDSFAIRFAXRD,NONE
36,BLOOMINGTON PD,BLOOMINGTON,2021-12-23T00:00:00,3:00 AM,2,,0,0,0,"","","",S COLLEGE MALL RD,ENTRANCE TO EASTLAND PLAZA,"",120,"",39.16316485,-86.49812616,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SCOLLEGEMALLRDE3RDST,""
37,BLOOMINGTON PD,BLOOMINGTON,2021-12-23T00:00:00,5:38 AM,2,,0,0,0,"","","",N WALNUT ST,SR 45/46,"",0,"",39.18643057,-86.53454251,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAWN/DUSK,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,STATERD46NWALNUTST,""
38,BLOOMINGTON PD,BLOOMINGTON,2021-12-23T00:00:00,5:50 AM,1,0,0,0,0,"","","",N ADAMS ST,INDIANA RAILROAD BRIDGE,"",50,S,39.16447108,-86.549643,LOCAL/CITY ROAD,Y,URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLISION WITH OBJECT IN ROAD,NADAMSSTWFOUNTAINDR,NONE
39,BLOOMINGTON PD,BLOOMINGTON,2021-12-23T00:00:00,6:31 AM,1,,0,0,1,"","","",W OLD SR 37,N SR 37 BUSINESS,"",0,"",39.20719546,-86.53484704,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,NOLDSTATEROAD37NOLDSTATEROAD37,""
40,DNR LAW ENFORCEMENT,BLOOMINGTON,2021-12-23T00:00:00,1:25 PM,2,0,0,0,0,"","","",SR 446,ENTRANCE TO CUTRIGHT STATE RECREATION AREA,"",10,N,,,STATE ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,LEFT TURN,CUTRIGHTRDSSR446S,NONE
41,MONROE SD,ELLETTSVILLE,2021-12-23T00:00:00,3:18 PM,2,0,0,0,0,"","","",SR 46,N SMITH PIKE,"",,"",39.210144,-86.5832,STATE ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NSMITHPIKESR46W,TRAFFIC CONTROL SIGNAL
42,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2021-12-23T00:00:00,3:34 PM,2,0,0,0,0,"","","",E 3RD ST,S JORDAN AVE,"",90,E,39.164263,-86.51640178,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,JORDANAVETHIRDST,NONE
