_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
1985,BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0,0,,,,SR 45/46,N DUNN ST,,100.0,W,39.186352,-86.528496,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ESTATEROAD4546HWYNDUNNST,TRAFFIC CONTROL SIGNAL,2021-06-01 15:28:00
1986,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W VERNAL PIKE,N THOMAS RD,,,,39.18904,-86.630096,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NTHOMASRDWVERNALPIKE,STOP SIGN,2021-06-01 16:27:00
1987,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,N HARTSTRAIT RD,W RATLIFF RD,,,,39.209109,-86.611378,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAWN/DUSK,RAIN,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,HARTSRAITRDRATLIFFRD,NONE,2021-06-01 20:22:00
1988,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,I-69 S,,,,,0.0,0.0,INTERSTATE,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,REAR END,I69S131.0,LANE CONTROL,2021-05-31 02:52:00
1989,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,E 3RD ST,S OVERHILL DR,,,,39.164272,-86.501488,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E3RDSTSOVERHILLDR,NONE,2021-05-31 13:29:00
1990,BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0,0,,Y,,I-69 N,W 3RD ST,,500.0,S,0.0,0.0,INTERSTATE,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,I69N118.0,NONE,2021-05-31 17:45:00
1991,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,E ATWATER AVE,S HENDERSON ST,,200.0,W,39.163149,-86.52724889,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,ATWATERAVEHENDERSONST,NONE,2021-05-31 21:15:00
1992,ISP BLOOMINGTON 33,ELLETTSVILLE,1,,0.0,0,1,8101,,,SR 46,ENTRANCE TO KEHE DISTRIBUTORS,,0.0,,39.24982289,-86.65103144,STATE ROAD,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,StateRd46,,2021-05-31 22:50:00
1993,BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0,0,,,,W KIRKWOOD AVE,N ADAMS ST,,,,39.166816,-86.549488,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,UNSAFE SPEED,REAR END,NADAMSSTWKIRKWOODAVE,TRAFFIC CONTROL SIGNAL,2021-05-30 14:59:00
1994,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E BOLTINGHOUSE RD,E OLD MEYERS RD,,,,39.219064,-86.47303,LOCAL/CITY ROAD,N,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EBOLTINGHOUSERDEOLDMEYERSRD,STOP SIGN,2021-05-30 15:59:00
