_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
1,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,,,,W ROCK EAST RD,,,1300.0,W,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,MOUNTZIONRDROCKEASTRD,NONE,2021-12-31 00:30:00
2,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,,,,E SMITHVILLE RD,,,300.0,E,,,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,POPULARESTSMITHVILLERD,LANE CONTROL,2021-12-31 00:50:00
3,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,SR 46,E 3RD ST,,0.0,,39.16427789,-86.49838408,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO MAINTAIN LANE,SAME DIRECTION SIDESWIPE,STATERD46E3RDST,,2021-12-31 12:31:00
4,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,7533,,,N CAPTAINS WAY,,,,,,,LOCAL/CITY ROAD,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,NON-ROADWAY CRASH,GRAVEL,UNSAFE BACKING,BACKING CRASH,NCAPTAINSWAY,NONE,2021-12-31 22:15:00
5,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W VERNAL PIKE,N OARD RD,,,,39.181344,-86.637104,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,Y-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,OARDRDVERNALPIKE,NONE,2021-12-30 02:41:00
6,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,S CLARIZZ BLVD,SR 46,,0.0,,39.16365591,-86.49068111,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SCLARIZZBLVDE3RDST,,2021-12-30 14:36:00
7,BLOOMINGTON PD,BLOOMINGTON,1,,0.0,0,0,500,,,S MULLER PKWY,,,0.0,,,,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF ROAD,500SMULLERPKWY,,2021-12-30 17:30:00
8,BLOOMINGTON PD,BLOOMINGTON,1,,0.0,0,0,,,,INDIANA RAILROAD,,,0.0,,39.17280511,-86.55873603,UNKNOWN,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,,OTHER - EXPLAIN IN NARRATIVE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,WGRAYST,,2021-12-30 18:05:00
9,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,E WYLIE ST,S WASHINGTON ST,,0.0,,39.1583534,-86.53239674,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SWASHINGTONSTEWYLIEST,,2021-12-29 02:56:00
10,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W 3RD ST,I-69 N,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,INTERCHANGE,STRAIGHT/LEVEL,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,STATEROAD69HWYW3RDST,NONE,2021-12-29 03:45:00
11,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W VERNAL PIKE,N LOGAN RD,,200.0,E,39.179248,-86.5744,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,REAR END,NLOGANRDWVERNALPIKE,LANE CONTROL,2021-12-29 10:00:00
12,BLOOMINGTON PD,BLOOMINGTON,2,,1.0,0,0,,,,S ROGERS ST,W COUNTRY CLUB DR,,0.0,,,,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WCOUNTRYCLUBSROGERSST,,2021-12-29 12:28:00
13,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,SR 48,,,2500.0,E,,,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,GARRISONCAHPELRDSR48W,NONE,2021-12-29 16:31:00
14,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,SR 45/46,E 10TH ST,,,,39.176848,-86.478192,STATE ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E10THSTSR4546S,STOP SIGN,2021-12-29 19:31:00
15,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S STONECHASE CROSSING,,,500.0,E,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,UNSAFE BACKING,OTHER - EXPLAIN IN NARRATIVE,SSTONECHASEXINGWCOBBLESTONEST,NONE,2021-12-29 22:33:00
16,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,E HILLSIDE DR,S HUNTINGTON DR,,0.0,,39.15055097,-86.52068443,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SHUNTINGTONDREHILLSIDEDR,,2021-12-28 04:49:00
17,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,N SR 37 BUSINESS,,,600.0,N,,,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,NORTHBUSINESS37RDWESTBAYLESRD,NONE,2021-12-28 06:25:00
18,BLOOMINGTON PD,BLOOMINGTON,1,,0.0,0,0,,,,W BLOOMFIELD RD,S ADAMS ST,,0.0,,,,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER ILLNESS,RAN OFF ROAD,WBLOOMFIELDRDSADAMSST,,2021-12-28 09:12:00
19,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N KINSER PIKE,SR 45/46,,,,39.186544,-86.537888,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,NKINSERPIKESR46W,TRAFFIC CONTROL SIGNAL,2021-12-28 12:10:00
20,BLOOMINGTON PD,BLOOMINGTON,3,,1.0,0,0,,,,W COUNTRY CLUB DR,S BANTA AVE,,500.0,,,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,S.BANTAAVE1000BLKW.COUNTRYCLUBDRIVE,,2021-12-28 15:18:00
21,BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0,0,,,,S ADAMS ST,S PATTERSON DR,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,SPATTERSONDRW3RDST,TRAFFIC CONTROL SIGNAL,2021-12-28 20:30:00
22,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,1535,,,S GARRISON CHAPEL RD,,,500.0,N,39.141648,-86.6428,UNKNOWN,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,speed too fast - weather conditions (originally: RAN OFF ROAD),1535SGARRISONCHAPELRDWSPICERLN,LANE CONTROL,2021-12-28 20:56:00
23,MONROE SD,BLOOMINGTON,1,0.0,3.0,0,0,,,,S ROCKPORT RD,W TRAMWAY RD,,200.0,S,,,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SROCKPORTRDWTRAMWAYRD,NONE,2021-12-27 08:40:00
24,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,SR 48,,,1400.0,W,39.16379806,-86.62474254,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NOARDRDSR48W,NO PASSING ZONE,2021-12-27 12:30:00
25,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,,1.0,0,0,,,,SR 46,SR 45,,220.0,,39.17084008,-86.50174982,STATE ROAD,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,STATERD4610THSTREET,,2021-12-27 20:10:00
26,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S FAIRFAX RD,E SANDERS SECOND AVE,,150.0,S,,,LOCAL/CITY ROAD,Y,RURAL,N,Y,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EASTSANDERSSECONDAVESOUTHFAIRFAXRD,NONE,2021-12-27 23:17:00
27,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,SR 46,W ARLINGTON RD,,150.0,E,39.20954098,-86.58226873,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,ARLINGTONRDSR46E,TRAFFIC CONTROL SIGNAL,2021-12-26 08:54:00
28,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,I69,N,W 3RD ST,I-69 N,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,THIRDST,TRAFFIC CONTROL SIGNAL,2021-12-26 10:35:00
29,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,800,,,N ALLEN ST,KELLY ST,,,,39.23806998,-86.62672604,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,NALLENST,NONE,2021-12-25 10:10:00
30,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W WOODYARD RD,,,500.0,W,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NSMITHPIKEWWOODYARDRD,LANE CONTROL,2021-12-25 12:04:00
31,BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0,0,,,,SR 46,S CLARIZZ BLVD,,,,39.16424,-86.4908,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,CLARIZZBLVDE3RDST,TRAFFIC CONTROL SIGNAL,2021-12-25 13:38:00
32,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,SR 45,S GARRISON CHAPEL RD,,,,,,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,GARRISONCHAPLRDSR45N,STOP SIGN,2021-12-24 10:33:00
33,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,W VERNAL PIKE,,,1000.0,W,,,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,6000BLOCKWESTVERNALPIKE6000BLOCKWESTVERNALPIKE,NONE,2021-12-24 11:05:00
34,BLOOMINGTON PD,BLOOMINGTON,2,,1.0,0,0,,,,S WASHINGTON ST,E GRIMES LN,,0.0,,39.15342828,-86.53261131,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SOUTHWASHINGTONEASTGRIMES,,2021-12-24 17:07:00
35,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,,,,E SCHACHT RD,,,1800.0,E,39.10704,-86.523488,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,ESCHACHTRDSFAIRFAXRD,NONE,2021-12-24 19:05:00
36,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,S COLLEGE MALL RD,ENTRANCE TO EASTLAND PLAZA,,120.0,,39.16316485,-86.49812616,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SCOLLEGEMALLRDE3RDST,,2021-12-23 03:00:00
37,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,N WALNUT ST,SR 45/46,,0.0,,39.18643057,-86.53454251,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,STATERD46NWALNUTST,,2021-12-23 05:38:00
38,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,N ADAMS ST,INDIANA RAILROAD BRIDGE,,50.0,S,39.16447108,-86.549643,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLISION WITH OBJECT IN ROAD,NADAMSSTWFOUNTAINDR,NONE,2021-12-23 05:50:00
39,BLOOMINGTON PD,BLOOMINGTON,1,,0.0,0,1,,,,W OLD SR 37,N SR 37 BUSINESS,,0.0,,39.20719546,-86.53484704,LOCAL/CITY ROAD,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,NOLDSTATEROAD37NOLDSTATEROAD37,,2021-12-23 06:31:00
40,DNR LAW ENFORCEMENT,BLOOMINGTON,2,0.0,0.0,0,0,,,,SR 446,ENTRANCE TO CUTRIGHT STATE RECREATION AREA,,10.0,N,,,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,LEFT TURN,CUTRIGHTRDSSR446S,NONE,2021-12-23 13:25:00
41,MONROE SD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,N SMITH PIKE,,,,39.210144,-86.5832,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NSMITHPIKESR46W,TRAFFIC CONTROL SIGNAL,2021-12-23 15:18:00
42,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 3RD ST,S JORDAN AVE,,90.0,E,39.164263,-86.51640178,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,JORDANAVETHIRDST,NONE,2021-12-23 15:34:00
43,BLOOMINGTON PD,BLOOMINGTON,2,0.0,4.0,0,0,,,,SR 48,S CURRY PIKE,,300.0,E,39.16465,-86.58296497,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ACCELERATOR FAILURE OR DEFECTIVE,LEFT TURN,SCURRYPIKEW3RDST,NONE,2021-12-23 18:08:00
44,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,I-69 N,W 3RD ST,,211.0,,39.1533118,-86.57300181,INTERSTATE,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,I-69NBMM118118,,2021-12-22 06:36:00
45,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,SR 45/46,N MONROE ST,,300.0,,39.18700396,-86.54881537,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,STATERD46NORTHMONROEST.,,2021-12-22 07:15:00
46,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 446,S SWARTZ RIDGE RD,,,,39.1316,-86.447968,STATE ROAD,N,RURAL,N,Y,N,,DAWN/DUSK,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,SSWARTZRDGSR446S,NONE,2021-12-22 07:40:00
47,ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0,0,,,,I-69 S,,,0.0,,39.27350981,-86.5235324,INTERSTATE,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,I-69125,,2021-12-22 14:06:00
48,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,219,,,E 17TH ST,,,0.0,,39.17895145,-86.53153307,LOCAL/CITY ROAD,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,LEFT TURN,219EAST17TH,,2021-12-22 18:40:00
49,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,S HENDERSON ST,E HILLSIDE DR,,0.0,,39.15057239,-86.52693703,LOCAL/CITY ROAD,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SHENDERSONSTEHILLSIDEDR,,2021-12-22 19:02:00
50,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,N SHUFFLE CREEK RD,,,1000.0,N,39.229952,-86.416096,LOCAL/CITY ROAD,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,LEFT OF CENTER,,NSHUFFLECREEKRDSR45E,NONE,2021-12-22 19:26:00
51,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E KIRKWOOD AVE,UNIVERSITY AVE,,180.0,E,39.16685,-86.52162657,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,LEFT/RIGHT TURN,EKIRKWOODAVENFORRESTAVE,NONE,2021-12-21 09:27:00
52,ISP BLOOMINGTON 33,ELLETTSVILLE,3,,0.0,0,0,,,,SR 46,N OUTBACK RD,,0.0,,39.21523516,-86.59283546,STATE ROAD,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SR46NOUTBACKDRIVE,,2021-12-21 12:31:00
53,BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0,0,,,,E MOORES PIKE,S OLCOTT BLVD,,,,39.150186,-86.484993,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EMOORESPIKESOLCOTTBLVD,LANE CONTROL,2021-12-21 12:36:00
54,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,I-69,,,0.0,,0.0,0.0,INTERSTATE,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,69117,,2021-12-21 15:12:00
55,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0,0,,,,S HENDERSON ST,E ATWATER AVE,,,,39.163149,-86.5272662,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,ATWATERAVEHENDERSONST,TRAFFIC CONTROL SIGNAL,2021-12-21 15:30:00
56,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,S HENDERSON ST,E GRAHAM DR,,0.0,,39.13946178,-86.52698299,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SHENDERSONSTEGRAHAMDR,,2021-12-21 15:49:00
57,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,S SARE RD,E CANADA DR,,0.0,,39.12671513,-86.50424228,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SSARERDECANADADR,,2021-12-21 17:03:00
58,BLOOMINGTON PD,BLOOMINGTON,3,,0.0,0,0,,,,SR 45/46,N DUNN ST,,0.0,,39.18623654,-86.52762598,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,STATERD45NDUNNST,,2021-12-20 04:24:00
59,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,W BLOOMFIELD RD,,,0.0,,0.0,0.0,LOCAL/CITY ROAD,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WBLOOMFIELDRD,,2021-12-20 07:39:00
60,ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0,0,,,,N CURRY PIKE,W JONATHAN DR,,0.0,,39.16836344,-86.58291668,COUNTY ROAD,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,JONATHANDRIVECURRYPIKE,,2021-12-20 11:18:00
61,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,N MATTHEWS DR,W MCNEELY ST,,,,39.2382122,-86.6238869,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,MATTHEWSDRMCNEELYST,NONE,2021-12-20 14:02:00
62,BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0,0,,,,S DUNN ST,E KIRKWOOD AVE,,,,39.16664,-86.528192,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,EKIRKWOODAVESDUNNST,STOP SIGN,2021-12-20 15:03:00
63,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,SR 46,SR 446,,0.0,,39.16436237,-86.47203631,STATE ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,REAR END,STATERD446E3RDST,,2021-12-20 15:36:00
64,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,3585,,,SR 45,ENTRANCE TO WALMART (NE),,,,39.141477,-86.58021,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WSTATE45RD,STOP SIGN,2021-12-20 16:17:00
65,BLOOMINGTON PD,BLOOMINGTON,1,,0.0,0,0,,,,N KINSER PIKE,W SKYLINE DR,,158.0,,39.19081678,-86.53772424,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO MAINTAIN LANE,RAN OFF ROAD,WSKYLINEDRNKINSERPIKE,,2021-12-20 17:00:00
