Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,SR 45,N PETE ELLIS DR,,,,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E1OTHSTNPETEELLISDR,TRAFFIC CONTROL SIGNAL,2019-01-01 18:39:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,2215.0,,,E COVENANTER,,,,,39.15555,-86.50447,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,ECONVENANTERDR,NONE,2019-01-01 08:00:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,N JORDAN,E 7TH ST,,,,39.169065,-86.516155,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,OTHER - EXPLAIN IN NARRATIVE,7THSTJORDANAVE,STOP SIGN,2019-01-01 12:47:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N WALNUT,W 8TH ST,,100.0,N,39.16891463,-86.53356318,LOCAL/CITY ROAD,Y,URBAN,,,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,OPPOSITE DIRECTION SIDESWIPE,7THSTWALNUTST,NONE,2019-01-01 01:50:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,W 7TH,N WALDRON ST,,,,39.168752,-86.5436,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NWALDRONSTW7THST,NONE,2019-01-01 03:28:00
MONROE SD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,W ARLINGTON,,,840.0,W,39.20772792,-86.57433221,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,ARLINGTONRDRAJUMIST,LANE CONTROL,2019-01-01 04:55:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 45,I-69 S,,,,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,RAMP,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SBRAMPONTOSR37RAMPW3RDST,YIELD SIGN,2019-01-02 13:27:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,N INDIANA,E 17TH ST,,25.0,S,39.17637542,-86.52705,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,MUDDY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,GRAVEL,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,17THSTINDIANAAVE,NONE,2019-01-02 10:27:00
ISP BLOOMINGTON 33,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N WALNUT,E 14TH ST,,,,39.175952,-86.53344,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,LEFT/RIGHT TURN,14THSTWALNUTST,LANE CONTROL,2019-01-02 09:12:00
MONROE SD,BLOOMINGTON,2,0.0,2.0,0.0,0.0,,,,SR 45,W DINSMORE RD,,300.0,W,39.11460543,-86.63189064,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,DINSMORERDSR45W,NONE,2019-01-02 13:30:00
ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0.0,0.0,,,,SR 46,N 1ST ST,,,,39.23144,-86.621296,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,FIRSTSTSTSR46W,LANE CONTROL,2019-01-02 19:15:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,,0.0,0.0,919.0,,,ALLEY,W KIRKWOOD AVE,,,,39.16657314,-86.53914268,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,UNKNOWN,,DRY,,T-INTERSECTION,STRAIGHT/GRADE,GRAVEL,IMPROPER TURNING,,PUBLICALLEYAT919WKIRKWOODALYWKIRKWOODAVE,NONE,2019-01-03 19:00:00
ELLETTSVILLE PD,ELLETTSVILLE,1,0.0,0.0,0.0,0.0,,,,E TECUMSEH,S DEER RUN,,,,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,CELL PHONE USAGE,RAN OFF ROAD,DEERRUNTECUMSEHDR,NONE,2019-01-03 16:40:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S HAWTHORNE,E 3RD ST,,,,39.164255,-86.51989,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,HAWTHORNELNTHIRDST,TRAFFIC CONTROL SIGNAL,2019-01-03 14:13:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 45,SR 45/46,,500.0,E,39.18686,-86.54669827,STATE ROAD,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SR45SR46,NONE,2019-01-04 17:15:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S CURRY,SR 45,,,,0.0,0.0,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SCURRYPIKEWSTATEROAD45RD,TRAFFIC CONTROL SIGNAL,2019-01-04 16:55:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,W 2ND,S ROGERS ST,,,,39.16152,-86.538592,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,E2NDSTSROGERSST,TRAFFIC CONTROL SIGNAL,2019-01-04 19:00:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S CURRY,W VERNAL PIKE,,,,39.179248,-86.5832,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SCURRYPIKEWVERNALPIKE,TRAFFIC CONTROL SIGNAL,2019-01-04 15:22:00
